nvidia-smi --query-gpu=uuid,timestamp,utilization.gpu,memory.used --format=csv
uuid, timestamp, utilization.gpu [%], memory.used [MiB]
GPU-3af7d79b-abe5-1df2-b882-4ebb399629ee, 2023/01/21 16:16:52.737, 0 %, 599 MiB
GPU-6268967f-6d31-96ed-37ce-dffd80902711, 2023/01/21 16:16:52.738, 0 %, 2 MiB
GPU-1dbe600f-e29a-6bf8-be23-5e5fc438ef4c, 2023/01/21 16:16:52.738, 0 %, 2 MiB
GPU-5dfa630d-a022-20b3-a5d4-e7b6069cdcba, 2023/01/21 16:16:52.739, 0 %, 2 MiB
uuid, timestamp, utilization.gpu [%], memory.used [MiB]
GPU-3af7d79b-abe5-1df2-b882-4ebb399629ee, 2023/01/21 16:16:52.908, 0 %, 599 MiB
GPU-6268967f-6d31-96ed-37ce-dffd80902711, 2023/01/21 16:16:52.909, 0 %, 2 MiB
GPU-1dbe600f-e29a-6bf8-be23-5e5fc438ef4c, 2023/01/21 16:16:52.910, 0 %, 2 MiB
GPU-5dfa630d-a022-20b3-a5d4-e7b6069cdcba, 2023/01/21 16:16:52.910, 0 %, 2 MiB
uuid, timestamp, utilization.gpu [%], memory.used [MiB]
GPU-3af7d79b-abe5-1df2-b882-4ebb399629ee, 2023/01/21 16:16:53.080, 0 %, 599 MiB
GPU-6268967f-6d31-96ed-37ce-dffd80902711, 2023/01/21 16:16:53.080, 0 %, 2 MiB
GPU-1dbe600f-e29a-6bf8-be23-5e5fc438ef4c, 2023/01/21 16:16:53.081, 0 %, 2 MiB
GPU-5dfa630d-a022-20b3-a5d4-e7b6069cdcba, 2023/01/21 16:16:53.081, 0 %, 2 MiB
uuid, timestamp, utilization.gpu [%], memory.used [MiB]
GPU-3af7d79b-abe5-1df2-b882-4ebb399629ee, 2023/01/21 16:16:53.256, 0 %, 599 MiB
GPU-6268967f-6d31-96ed-37ce-dffd80902711, 2023/01/21 16:16:53.256, 0 %, 2 MiB
GPU-1dbe600f-e29a-6bf8-be23-5e5fc438ef4c, 2023/01/21 16:16:53.257, 0 %, 2 MiB
GPU-5dfa630d-a022-20b3-a5d4-e7b6069cdcba, 2023/01/21 16:16:53.257, 0 %, 2 MiB
uuid, timestamp, utilization.gpu [%], memory.used [MiB]
GPU-3af7d79b-abe5-1df2-b882-4ebb399629ee, 2023/01/21 16:16:53.429, 0 %, 599 MiB
GPU-6268967f-6d31-96ed-37ce-dffd80902711, 2023/01/21 16:16:53.429, 0 %, 2 MiB
