time,W,usage_c0,usage_c1,usage_c2,usage_c3,usage_c4,usage_c5,usage_c6,usage_c7,temp4,temp5,temp6,temp7
1676067119.7157373,0.0,0.040999999999999995,0.235,0.0,0.02,0.86,0.04,0.0,0.0,49.0,37.0,38.0,34.0,
1676067119.917653,5.305,0.095,0.1,0.0,0.0,1.0,0.0,0.0,0.0,50.0,38.0,38.0,35.0,
1676067120.1187332,5.305,0.0,0.053,0.0,0.0,1.0,0.048,0.0,0.0,51.0,38.0,39.0,35.0,
1676067120.3197932,5.305,0.05,0.1,0.0,0.048,1.0,0.048,0.05,0.0,51.0,39.0,39.0,35.0,
1676067120.5209832,5.305,0.0,0.05,0.0,0.0,1.0,0.0,0.048,0.0,52.0,39.0,40.0,36.0,
1676067120.7220442,5.305,0.05,0.053,0.0,0.0,1.0,0.105,0.0,0.0,52.0,41.0,40.0,36.0,
1676067120.9230947,5.729,0.05,0.14300000000000002,0.0,0.0,1.0,0.048,0.0,0.13,52.0,40.0,40.0,36.0,
1676067121.1241386,5.729,0.048,0.136,0.0,0.0,1.0,0.0,0.048,0.0,53.0,40.0,41.0,37.0,
1676067121.3253326,5.729,0.0,0.053,0.0,0.0,1.0,0.0,0.0,0.0,53.0,40.0,41.0,37.0,
1676067121.52641,5.729,0.048,0.053,0.0,0.0,1.0,0.0,0.0,0.0,53.0,40.0,41.0,37.0,
1676067121.7274547,5.729,0.05,0.136,0.0,0.0,1.0,0.0,0.0,0.0,53.0,41.0,41.0,37.0,
1676067121.928534,5.729,0.05,0.053,0.0,0.0,1.0,0.0,0.0,0.0,53.0,41.0,41.0,37.0,
1676067122.1298318,5.622,0.105,0.1,0.048,0.0,1.0,0.0,0.0,0.048,53.0,41.0,41.0,37.0,
1676067122.33098,5.622,0.0,0.053,0.05,0.0,1.0,0.105,0.0,0.0,54.0,41.0,41.0,37.0,
1676067122.5321214,5.622,0.053,0.105,0.0,0.0,1.0,0.0,0.048,0.0,54.0,41.0,41.0,38.0,
1676067122.7333863,5.622,0.1,0.095,0.048,0.0,1.0,0.048,0.0,0.0,54.0,41.0,42.0,38.0,
1676067122.934479,5.622,0.05,0.053,0.0,0.0,1.0,0.0,0.0,0.0,54.0,41.0,42.0,38.0,
1676067123.1355634,5.611,0.05,0.1,0.0,0.0,1.0,0.0,0.0,0.091,54.0,41.0,42.0,38.0,
1676067123.336651,5.611,0.05,0.1,0.0,0.0,1.0,0.0,0.0,0.0,54.0,42.0,42.0,38.0,
1676067123.537722,5.611,0.0,0.095,0.0,0.0,1.0,0.05,0.0,0.0,54.0,42.0,42.0,38.0,
1676067123.7387998,5.611,0.05,0.1,0.0,0.0,1.0,0.1,0.0,0.0,54.0,45.0,42.0,38.0,
1676067123.93988,5.611,0.048,0.053,0.0,0.05,1.0,0.05,0.0,0.0,55.0,42.0,42.0,38.0,
1676067124.1411238,5.611,0.0,0.095,0.0,0.0,1.0,0.0,0.0,0.0,55.0,42.0,42.0,38.0,
1676067124.3423371,5.653,0.05,0.1,0.0,0.048,1.0,0.0,0.048,0.0,55.0,42.0,42.0,38.0,
1676067124.5434246,5.653,0.0,0.14300000000000002,0.05,0.0,1.0,0.0,0.0,0.05,55.0,42.0,42.0,38.0,
1676067124.7444944,5.653,0.05,0.05,0.0,0.0,1.0,0.048,0.0,0.0,55.0,42.0,43.0,38.0,
1676067124.945562,5.489,0.05,0.1,0.0,0.091,1.0,0.095,0.0,0.0,55.0,42.0,43.0,39.0,
1676067125.1466317,5.489,0.0,0.0,0.0,0.0,1.0,0.0,0.05,0.0,55.0,42.0,43.0,39.0,
1676067125.3477309,5.489,0.095,0.136,0.0,0.0,1.0,0.15,0.048,0.048,55.0,43.0,43.0,39.0,
1676067125.5488071,5.489,0.048,0.053,0.0,0.0,1.0,0.048,0.05,0.048,55.0,43.0,43.0,39.0,
1676067125.7499948,5.489,0.0,0.053,0.0,0.048,1.0,0.0,0.0,0.0,55.0,42.0,43.0,39.0,
1676067125.951064,5.607,0.095,0.095,0.0,0.0,1.0,0.05,0.0,0.0,55.0,43.0,43.0,39.0,
1676067126.152136,5.607,0.0,0.14300000000000002,0.05,0.05,1.0,0.0,0.0,0.0,55.0,43.0,43.0,39.0,
1676067126.3533568,5.607,0.05,0.1,0.0,0.0,1.0,0.091,0.0,0.0,55.0,43.0,43.0,39.0,
1676067126.5544283,5.607,0.05,0.053,0.0,0.0,1.0,0.0,0.048,0.0,55.0,43.0,43.0,39.0,
1676067126.7554944,5.607,0.0,0.136,0.0,0.0,1.0,0.0,0.05,0.0,55.0,43.0,43.0,39.0,
1676067126.956579,5.676,0.05,0.053,0.0,0.091,1.0,0.1,0.048,0.048,55.0,43.0,44.0,39.0,
