time               ,W      ,usage_c0             ,usage_c1             ,usage_c2             ,usage_c3             ,usage_c4             ,usage_c5             ,usage_c6             ,usage_c7             ,temp4 ,temp5 ,temp6 ,temp7
1676067636.4070752 , 0.0   ,0.16899999999999998  ,0.034                ,0.179                ,0.0                  ,0.017                ,0.069                ,0.017                ,0.966                , 35.0 , 36.0 , 39.0 , 43.0 ,
1676067636.6087692 , 0.0   ,0.15                 ,0.0                  ,0.14300000000000002  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,1.0                  , 36.0 , 36.0 , 40.0 , 43.0 ,
1676067636.8098586 , 0.0   ,0.053                ,0.0                  ,0.05                 ,0.0                  ,0.095                ,0.0                  ,0.0                  ,1.0                  , 39.0 , 37.0 , 40.0 , 44.0 ,
1676067637.0109553 , 0.0   ,0.053                ,0.0                  ,0.1                  ,0.0                  ,0.053                ,0.0                  ,0.091                ,1.0                  , 37.0 , 37.0 , 40.0 , 44.0 ,
1676067637.2120342 , 5.153 ,0.15                 ,0.0                  ,0.053                ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,1.0                  , 37.0 , 37.0 , 41.0 , 45.0 ,
1676067637.4132657 , 5.153 ,0.1                  ,0.0                  ,0.14300000000000002  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,1.0                  , 37.0 , 37.0 , 41.0 , 45.0 ,
1676067637.6143613 , 5.153 ,0.14300000000000002  ,0.048                ,0.095                ,0.0                  ,0.0                  ,0.05                 ,0.0                  ,1.0                  , 37.0 , 37.0 , 41.0 , 45.0 ,
1676067637.8154478 , 5.153 ,0.1                  ,0.0                  ,0.053                ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,1.0                  , 37.0 , 38.0 , 41.0 , 45.0 ,
1676067638.0166135 , 5.179 ,0.158                ,0.0                  ,0.14300000000000002  ,0.0                  ,0.048                ,0.0                  ,0.0                  ,1.0                  , 37.0 , 38.0 , 42.0 , 45.0 ,
1676067638.2177022 , 5.179 ,0.053                ,0.0                  ,0.053                ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,1.0                  , 37.0 , 38.0 , 42.0 , 46.0 ,
1676067638.418801  , 5.179 ,0.053                ,0.05                 ,0.053                ,0.0                  ,0.15                 ,0.0                  ,0.0                  ,1.0                  , 38.0 , 38.0 , 42.0 , 46.0 ,
1676067638.6198678 , 5.179 ,0.14300000000000002  ,0.048                ,0.136                ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,1.0                  , 38.0 , 39.0 , 42.0 , 46.0 ,
1676067638.8211045 , 5.179 ,0.055999999999999994 ,0.0                  ,0.1                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,1.0                  , 38.0 , 39.0 , 42.0 , 46.0 ,
1676067639.0221941 , 5.214 ,0.182                ,0.048                ,0.095                ,0.0                  ,0.0                  ,0.0                  ,0.048                ,1.0                  , 38.0 , 39.0 , 42.0 , 46.0 ,
1676067639.223268  , 5.214 ,0.055999999999999994 ,0.0                  ,0.1                  ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,1.0                  , 38.0 , 39.0 , 42.0 , 46.0 ,
1676067639.4243398 , 5.214 ,0.14300000000000002  ,0.0                  ,0.053                ,0.0                  ,0.0                  ,0.0                  ,0.0                  ,1.0                  , 38.0 , 39.0 , 43.0 , 46.0 ,
1676067639.6255417 , 5.214 ,0.0                  ,0.0                  ,0.095                ,0.0                  ,0.0                  ,0.048                ,0.0                  ,1.0                  , 38.0 , 39.0 , 42.0 , 46.0 ,
1676067639.8266156 , 5.214 ,0.1                  ,0.0                  ,0.1                  ,0.0                  ,0.0                  ,0.05                 ,0.0                  ,1.0                  , 38.0 , 39.0 , 43.0 , 46.0 ,
1676067640.0277317 , 5.241 ,0.15                 ,0.0                  ,0.1                  ,0.0                  ,0.1                  ,0.0                  ,0.0                  ,1.0                  , 38.0 , 39.0 , 43.0 , 47.0 ,
