time               ,W      ,usage_c0             ,usage_c1             ,usage_c2             ,usage_c3             ,usage_c4           ,usage_c5           ,usage_c6           ,usage_c7           ,temp4 ,temp5 ,temp6 ,temp7
1676068052.4191728 , 0.0   ,0.267                ,0.17600000000000002  ,0.7859999999999999   ,0.0                  ,0.5329999999999999 ,0.7140000000000001 ,0.5329999999999999 ,0.857              , 41.0 , 42.0 , 45.0 , 39.0 ,
1676068052.621189  , 0.0   ,0.11800000000000001  ,0.053                ,0.19                 ,0.1                  ,0.95               ,0.857              ,0.905              ,0.909              , 48.0 , 49.0 , 51.0 , 43.0 ,
1676068052.8223784 , 0.0   ,0.1                  ,0.053                ,0.1                  ,0.048                ,1.0                ,0.9470000000000001 ,0.9470000000000001 ,0.9470000000000001 , 50.0 , 53.0 , 55.0 , 46.0 ,
1676068053.023593  , 9.79  ,0.737                ,0.105                ,0.21100000000000002  ,0.0                  ,1.0                ,0.895              ,0.85               ,0.895              , 52.0 , 55.0 , 57.0 , 47.0 ,
1676068053.224714  , 9.79  ,0.0                  ,0.0                  ,0.053                ,0.0                  ,1.0                ,0.9520000000000001 ,0.95               ,0.95               , 53.0 , 56.0 , 59.0 , 49.0 ,
1676068053.4260473 , 9.79  ,0.21100000000000002  ,0.0                  ,0.14300000000000002  ,0.05                 ,1.0                ,0.857              ,0.9                ,0.857              , 54.0 , 57.0 , 59.0 , 49.0 ,
1676068053.6272564 , 9.79  ,0.17600000000000002  ,0.21100000000000002  ,0.15                 ,0.14300000000000002  ,0.9520000000000001 ,0.895              ,0.9520000000000001 ,0.85               , 54.0 , 58.0 , 60.0 , 50.0 ,
1676068053.8284578 , 9.79  ,0.16699999999999998  ,0.0                  ,0.1                  ,0.0                  ,1.0                ,0.9                ,0.9                ,0.95               , 55.0 , 58.0 , 60.0 , 50.0 ,
1676068054.029693  ,10.214 ,0.35                 ,0.095                ,0.105                ,0.048                ,1.0                ,0.9                ,0.9                ,0.9                , 56.0 , 60.0 , 62.0 , 51.0 ,
1676068054.230794  ,10.214 ,0.053                ,0.0                  ,0.053                ,0.0                  ,1.0                ,0.95               ,0.95               ,0.95               , 57.0 , 61.0 , 63.0 , 52.0 ,
1676068054.4320061 ,10.214 ,0.21100000000000002  ,0.1                  ,0.105                ,0.05                 ,1.0                ,0.889              ,0.889              ,0.889              , 57.0 , 61.0 , 63.0 , 52.0 ,
1676068054.6333156 ,10.214 ,0.158                ,0.0                  ,0.105                ,0.1                  ,1.0                ,0.955              ,0.9520000000000001 ,0.95               , 58.0 , 62.0 , 64.0 , 53.0 ,
1676068054.8345096 ,10.122 ,0.3                  ,0.05                 ,0.05                 ,0.1                  ,0.8                ,0.667              ,0.6                ,0.619              , 54.0 , 57.0 , 59.0 , 50.0 ,
1676068055.0356665 ,10.122 ,0.158                ,0.0                  ,0.0                  ,0.1                  ,1.0                ,0.9470000000000001 ,0.95               ,0.9470000000000001 , 57.0 , 61.0 , 64.0 , 53.0 ,
1676068055.2369828 ,10.122 ,0.25                 ,0.158                ,0.0                  ,0.053                ,0.9470000000000001 ,0.95               ,0.895              ,0.9520000000000001 , 58.0 , 62.0 , 64.0 , 54.0 ,
1676068055.438192  ,10.122 ,0.28600000000000003  ,0.0                  ,0.0                  ,0.105                ,0.7140000000000001 ,0.6                ,0.6                ,0.65               , 56.0 , 60.0 , 62.0 , 52.0 ,
1676068055.6394446 ,10.122 ,0.25                 ,0.048                ,0.053                ,0.05                 ,0.9520000000000001 ,1.0                ,0.955              ,0.95               , 58.0 , 63.0 , 64.0 , 54.0 ,
1676068055.8401282 ,10.122 ,0.16699999999999998  ,0.0                  ,0.0                  ,0.05                 ,0.75               ,0.9                ,0.833              ,0.8                , 55.0 , 60.0 , 62.0 , 51.0 ,
1676068056.0405815 ,10.122 ,0.158                ,0.048                ,0.0                  ,0.05                 ,0.85               ,0.857              ,0.789              ,0.8                , 58.0 , 62.0 , 64.0 , 54.0 ,
1676068056.2410283 ,10.256 ,0.2                  ,0.0                  ,0.095                ,0.0                  ,0.9                ,1.0                ,0.95               ,0.9470000000000001 , 59.0 , 64.0 , 66.0 , 55.0 ,
1676068056.4421866 ,10.256 ,0.105                ,0.0                  ,0.0                  ,0.05                 ,0.632              ,0.75               ,0.684              ,0.696              , 57.0 , 61.0 , 63.0 , 53.0 ,
1676068056.643328  ,10.256 ,0.11800000000000001  ,0.105                ,0.05                 ,0.095                ,0.9520000000000001 ,0.905              ,1.0                ,0.95               , 59.0 , 63.0 , 66.0 , 55.0 ,
1676068056.8445225 ,10.256 ,0.16699999999999998  ,0.1                  ,0.0                  ,0.05                 ,0.905              ,1.0                ,0.85               ,0.85               , 56.0 , 62.0 , 63.0 , 53.0 ,
1676068057.0457273 ,10.626 ,0.16699999999999998  ,0.095                ,0.14300000000000002  ,0.05                 ,0.632              ,0.7140000000000001 ,0.7140000000000001 ,0.611              , 57.0 , 62.0 , 65.0 , 54.0 ,
1676068057.2468376 ,10.626 ,0.05                 ,0.0                  ,0.1                  ,0.0                  ,0.95               ,0.95               ,1.0                ,0.9520000000000001 , 58.0 , 64.0 , 67.0 , 55.0 ,
1676068057.4480236 ,10.626 ,0.16699999999999998  ,0.05                 ,0.1                  ,0.1                  ,0.65               ,0.6                ,0.789              ,0.65               , 53.0 , 59.0 , 62.0 , 51.0 ,
1676068057.6494374 ,10.626 ,0.053                ,0.0                  ,0.0                  ,0.1                  ,0.95               ,0.95               ,1.0                ,0.9520000000000001 , 59.0 , 64.0 , 66.0 , 56.0 ,
1676068057.8506117 ,10.626 ,0.14300000000000002  ,0.05                 ,0.0                  ,0.053                ,0.95               ,0.9470000000000001 ,1.0                ,0.9470000000000001 , 60.0 , 65.0 , 68.0 , 56.0 ,
1676068058.0518117 ,10.626 ,0.11800000000000001  ,0.095                ,0.053                ,0.14300000000000002  ,0.619              ,0.632              ,0.684              ,0.7140000000000001 , 59.0 , 63.0 , 65.0 , 55.0 ,
1676068058.2531333 ,10.626 ,0.15                 ,0.105                ,0.0                  ,0.053                ,0.9                ,0.9520000000000001 ,0.9                ,1.0                , 58.0 , 64.0 , 65.0 , 55.0 ,
1676068058.4543214 ,10.626 ,0.16699999999999998  ,0.0                  ,0.048                ,0.14300000000000002  ,0.75               ,0.75               ,0.762              ,0.81               , 55.0 , 60.0 , 61.0 , 53.0 ,
1676068058.6555514 ,10.626 ,0.4                  ,0.2                  ,0.368                ,0.105                ,0.762              ,0.85               ,0.762              ,0.895              , 59.0 , 64.0 , 66.0 , 56.0 ,
1676068058.8567185 ,10.626 ,0.0                  ,0.0                  ,0.0                  ,0.14300000000000002  ,0.9470000000000001 ,1.0                ,0.9470000000000001 ,0.9520000000000001 , 61.0 , 65.0 , 67.0 , 57.0 ,
1676068059.0579228 , 8.851 ,0.222                ,0.0                  ,0.14300000000000002  ,0.14300000000000002  ,0.667              ,0.75               ,0.684              ,0.65               , 59.0 , 63.0 , 65.0 , 55.0 ,
1676068059.259028  , 8.851 ,0.053                ,0.0                  ,0.0                  ,0.1                  ,0.95               ,1.0                ,0.95               ,0.9520000000000001 , 61.0 , 65.0 , 67.0 , 56.0 ,
1676068059.460151  , 8.851 ,0.21100000000000002  ,0.0                  ,0.0                  ,0.1                  ,0.857              ,0.905              ,0.8640000000000001 ,0.8420000000000001 , 59.0 , 64.0 , 66.0 , 55.0 ,
1676068059.6615136 , 8.851 ,0.111                ,0.053                ,0.05                 ,0.053                ,0.737              ,0.737              ,0.8                ,0.75               , 60.0 , 64.0 , 67.0 , 56.0 ,
1676068059.86271   , 9.844 ,0.389                ,0.05                 ,0.05                 ,0.15                 ,0.9520000000000001 ,0.95               ,0.905              ,1.0                , 61.0 , 66.0 , 68.0 , 57.0 ,
1676068060.0639334 , 9.844 ,0.33299999999999996  ,0.1                  ,0.053                ,0.105                ,0.6                ,0.7                ,0.7140000000000001 ,0.6                , 57.0 , 61.0 , 64.0 , 54.0 ,
1676068060.2651892 , 9.844 ,0.15                 ,0.0                  ,0.0                  ,0.053                ,0.9470000000000001 ,1.0                ,0.9470000000000001 ,0.955              , 60.0 , 66.0 , 67.0 , 56.0 ,
1676068060.4663239 , 9.844 ,0.0                  ,0.0                  ,0.095                ,0.1                  ,0.95               ,1.0                ,1.0                ,0.9470000000000001 , 62.0 , 66.0 , 68.0 , 57.0 ,
1676068060.667535  , 9.844 ,0.16699999999999998  ,0.1                  ,0.0                  ,0.105                ,0.65               ,0.773              ,0.7                ,0.65               , 60.0 , 65.0 , 67.0 , 56.0 ,
1676068060.8687234 , 8.752 ,0.25                 ,0.0                  ,0.0                  ,0.14300000000000002  ,0.95               ,1.0                ,0.95               ,0.95               , 62.0 , 67.0 , 68.0 , 58.0 ,
1676068061.0699484 , 8.752 ,0.222                ,0.0                  ,0.053                ,0.15                 ,0.65               ,0.7                ,0.737              ,0.65               , 55.0 , 61.0 , 63.0 , 52.0 ,
1676068061.271056  , 8.752 ,0.05                 ,0.0                  ,0.0                  ,0.1                  ,0.95               ,0.9520000000000001 ,0.95               ,0.9                , 61.0 , 66.0 , 68.0 , 57.0 ,
1676068061.4722424 , 8.752 ,0.21100000000000002  ,0.055999999999999994 ,0.1                  ,0.095                ,0.9470000000000001 ,0.95               ,0.857              ,0.95               , 62.0 , 67.0 , 68.0 , 58.0 ,
1676068061.6736097 , 8.752 ,0.111                ,0.05                 ,0.15                 ,0.2                  ,0.6                ,0.65               ,0.7                ,0.632              , 60.0 , 64.0 , 67.0 , 57.0 ,
1676068061.8749332 , 8.752 ,0.0                  ,0.0                  ,0.05                 ,0.05                 ,0.9520000000000001 ,0.9470000000000001 ,0.9470000000000001 ,1.0                , 62.0 , 66.0 , 69.0 , 58.0 ,
1676068062.0754998 , 9.195 ,0.3                  ,0.048                ,0.1                  ,0.053                ,0.789              ,0.75               ,0.75               ,0.889              , 57.0 , 62.0 , 64.0 , 55.0 ,
1676068062.275949  , 9.195 ,0.0                  ,0.0                  ,0.05                 ,0.048                ,0.8                ,0.857              ,0.85               ,0.9                , 61.0 , 65.0 , 68.0 , 58.0 ,
1676068062.476377  , 9.195 ,0.14300000000000002  ,0.1                  ,0.05                 ,0.1                  ,0.95               ,0.95               ,0.9520000000000001 ,0.9520000000000001 , 62.0 , 66.0 , 68.0 , 59.0 ,
1676068062.6776521 , 9.195 ,0.158                ,0.1                  ,0.095                ,0.0                  ,0.619              ,0.636              ,0.7140000000000001 ,0.7                , 60.0 , 64.0 , 67.0 , 57.0 ,
1676068062.8788576 , 9.195 ,0.3                  ,0.053                ,0.105                ,0.048                ,0.95               ,0.95               ,0.95               ,1.0                , 61.0 , 66.0 , 68.0 , 58.0 ,
1676068063.080053  , 9.351 ,0.3                  ,0.091                ,0.053                ,0.048                ,0.905              ,0.8                ,0.789              ,0.75               , 57.0 , 63.0 , 65.0 , 54.0 ,
1676068063.2813952 , 9.351 ,0.053                ,0.0                  ,0.15                 ,0.0                  ,0.737              ,0.737              ,0.8                ,0.778              , 62.0 , 66.0 , 68.0 , 58.0 ,
1676068063.4825897 , 9.351 ,0.055999999999999994 ,0.05                 ,0.19                 ,0.048                ,0.95               ,0.95               ,0.9520000000000001 ,1.0                , 63.0 , 67.0 , 70.0 , 59.0 ,
1676068063.683782  , 9.351 ,0.21100000000000002  ,0.0                  ,0.1                  ,0.053                ,0.7140000000000001 ,0.619              ,0.619              ,0.7                , 61.0 , 64.0 , 67.0 , 57.0 ,
1676068063.8851109 ,10.348 ,0.2                  ,0.05                 ,0.19                 ,0.048                ,0.95               ,0.95               ,0.95               ,1.0                , 62.0 , 67.0 , 69.0 , 59.0 ,
1676068064.0862763 ,10.348 ,0.111                ,0.05                 ,0.1                  ,0.05                 ,0.85               ,0.857              ,0.8420000000000001 ,0.895              , 58.0 , 63.0 , 65.0 , 56.0 ,
1676068064.2874746 ,10.348 ,0.16699999999999998  ,0.0                  ,0.1                  ,0.095                ,0.762              ,0.75               ,0.762              ,0.895              , 62.0 , 66.0 , 69.0 , 58.0 ,
1676068064.4886694 ,10.348 ,0.21100000000000002  ,0.263                ,0.158                ,0.0                  ,1.0                ,0.95               ,0.9520000000000001 ,0.95               , 63.0 , 67.0 , 70.0 , 59.0 ,
1676068064.6898704 ,10.348 ,0.222                ,0.0                  ,0.15                 ,0.05                 ,0.619              ,0.6                ,0.65               ,0.75               , 60.0 , 64.0 , 67.0 , 57.0 ,
1676068064.8910577 , 8.748 ,0.158                ,0.0                  ,0.1                  ,0.0                  ,1.0                ,0.95               ,0.95               ,0.909              , 63.0 , 67.0 , 69.0 , 59.0 ,
1676068065.0922337 , 8.748 ,0.16699999999999998  ,0.0                  ,0.053                ,0.0                  ,1.0                ,0.9470000000000001 ,0.895              ,0.895              , 60.0 , 65.0 , 66.0 , 56.0 ,
1676068065.293594  , 8.748 ,0.2                  ,0.0                  ,0.15                 ,0.0                  ,0.727              ,0.727              ,0.7                ,0.7                , 62.0 , 66.0 , 68.0 , 58.0 ,
1676068065.4947782 , 8.748 ,0.15                 ,0.0                  ,0.19                 ,0.05                 ,1.0                ,0.95               ,0.9520000000000001 ,0.95               , 64.0 , 68.0 , 70.0 , 59.0 ,
