time,W,usage_c0,usage_c1,usage_c2,usage_c3,usage_c4,usage_c5,usage_c6,usage_c7,temp4,temp5,temp6,temp7
1676057004.1739702,0.0,0.33299999999999996,0.5,0.0,0.0,1.0,0.5,0.6,0.33299999999999996,51.0,47.0,44.0,39.0,
1676057004.374278,0.0,0.2,0.1,0.3,0.059000000000000004,1.0,0.1,0.263,0.21100000000000002,53.0,43.0,43.0,38.0,
1676057004.5745723,0.0,0.0,0.0,0.0,0.048,1.0,0.0,0.05,0.05,53.0,42.0,42.0,38.0,
1676057004.7748663,5.603,0.05,0.0,0.0,0.048,1.0,0.05,0.0,0.053,53.0,41.0,42.0,38.0,
1676057004.9751942,5.603,0.105,0.19,0.1,0.053,1.0,0.3,0.35,0.21100000000000002,52.0,46.0,46.0,39.0,
1676057005.175488,5.603,0.05,0.053,0.105,0.053,1.0,0.1,0.053,0.2,54.0,42.0,43.0,38.0,
1676057005.3757823,5.603,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,54.0,42.0,42.0,38.0,
1676057005.5760703,5.603,0.048,0.048,0.0,0.0,1.0,0.048,0.091,0.05,54.0,42.0,42.0,38.0,
1676057005.7763572,5.603,0.05,0.0,0.0,0.0,1.0,0.048,0.05,0.05,54.0,41.0,42.0,38.0,
1676057005.9766388,5.596,0.053,0.091,0.0,0.0,1.0,0.05,0.0,0.0,54.0,41.0,42.0,38.0,
1676057006.17693,5.596,0.14300000000000002,0.053,0.23800000000000002,0.105,1.0,0.105,0.0,0.0,53.0,43.0,42.0,38.0,
1676057006.3772235,5.596,0.05,0.05,0.05,0.095,1.0,0.0,0.0,0.136,54.0,41.0,42.0,38.0,
1676057006.57751,5.596,0.0,0.0,0.0,0.0,1.0,0.15,0.095,0.0,54.0,43.0,43.0,38.0,
1676057006.7777932,5.596,0.095,0.0,0.0,0.0,1.0,0.0,0.0,0.0,54.0,42.0,42.0,38.0,
1676057006.978079,5.867,0.1,0.0,0.0,0.0,1.0,0.05,0.0,0.05,54.0,42.0,42.0,38.0,
1676057007.178365,5.867,0.0,0.0,0.0,0.0,1.0,0.05,0.0,0.05,54.0,42.0,42.0,38.0,
1676057007.3786602,5.867,0.0,0.0,0.0,0.0,1.0,0.0,0.05,0.0,54.0,42.0,42.0,38.0,
