epoch,train_loss,train_acc,test_loss,test_acc
0,8.2817,38.02,1.3899,49.00
1,6.2935,53.93,1.1872,57.46
2,5.0774,63.36,1.0466,63.58
3,4.1728,70.19,0.9702,66.42
4,3.4745,75.35,0.8899,69.12
5,2.9555,78.99,0.8994,69.73
6,2.5480,82.00,0.8904,71.27
7,2.2112,84.31,0.8722,72.20
8,1.8715,86.85,0.9152,71.94
9,1.6142,88.55,0.9289,72.27
10,1.3579,90.42,0.9285,73.03
11,1.1876,91.71,0.9516,73.99
12,1.0641,92.59,0.9346,73.45
13,0.9385,93.31,1.0338,73.18
14,0.8584,93.90,1.0518,73.46
15,0.7503,94.80,1.0971,73.08
16,0.7174,94.86,1.0876,74.28
17,0.6732,95.26,1.0508,74.42
18,0.6142,95.53,1.0352,74.93
19,0.5508,96.16,1.1461,74.02
20,0.5711,96.07,1.0597,75.51
21,0.4544,96.86,1.1614,74.46
22,0.5155,96.39,1.1467,74.38
23,0.4450,96.92,1.1515,75.49
24,0.4750,96.75,1.0924,74.78
25,0.4242,97.07,1.0925,75.68
26,0.3884,97.28,1.1973,75.03
27,0.3991,97.26,1.1573,75.76
28,0.3805,97.32,1.1397,75.55
29,0.3696,97.46,1.1684,75.06
30,0.3764,97.40,1.1292,75.63
31,0.3509,97.47,1.2784,74.41
32,0.3457,97.54,1.1736,76.12
33,0.2721,98.10,1.2495,75.24
34,0.3097,97.78,1.2543,75.42
35,0.3201,97.79,1.2356,75.27
36,0.2882,98.02,1.2269,75.99
37,0.2886,97.97,1.2231,75.70
38,0.2793,98.07,1.2005,76.69
39,0.2572,98.14,1.2414,76.22
40,0.2507,98.23,1.2278,75.93
41,0.2486,98.26,1.2638,75.96
42,0.2577,98.17,1.2202,75.70
43,0.2460,98.27,1.2255,76.31
44,0.2355,98.38,1.2263,76.57
45,0.2232,98.43,1.2236,75.87
46,0.2335,98.38,1.2600,76.25
47,0.2110,98.51,1.2493,76.57
48,0.2099,98.52,1.2534,76.36
49,0.2212,98.48,1.2203,76.62
50,0.2040,98.58,1.2395,76.35
51,0.2063,98.56,1.2676,76.59
52,0.1987,98.63,1.2627,76.43
53,0.1852,98.70,1.2780,76.37
54,0.2001,98.63,1.2157,76.88
55,0.1896,98.71,1.2869,76.71
56,0.1803,98.69,1.2562,77.18
57,0.1802,98.73,1.2598,76.61
58,0.1719,98.81,1.2531,77.31
59,0.1793,98.71,1.3245,76.58
60,0.1573,98.90,1.3211,76.94
61,0.1782,98.72,1.3147,76.55
62,0.1586,98.94,1.2556,77.40
63,0.1588,98.88,1.3404,77.10
64,0.1635,98.83,1.2549,77.48
65,0.1636,98.84,1.2412,77.44
66,0.1323,99.07,1.2996,77.51
67,0.1715,98.77,1.1903,77.41
68,0.1417,99.03,1.2933,77.24
69,0.1431,99.06,1.3255,77.38
70,0.1353,99.05,1.3056,77.66
71,0.1332,99.08,1.3223,78.10
72,0.1415,99.06,1.2931,77.41
73,0.1143,99.25,1.3742,77.45
74,0.1563,98.94,1.3166,77.10
75,0.1288,99.12,1.3250,77.38
76,0.1272,99.12,1.3389,77.39
77,0.1314,99.10,1.3229,77.49
78,0.1320,99.11,1.2910,77.71
79,0.1150,99.21,1.3259,77.58
80,0.1312,99.11,1.2928,77.09
81,0.1139,99.25,1.3081,77.82
82,0.1059,99.28,1.3229,77.70
83,0.1415,99.01,1.2740,78.07
84,0.1213,99.16,1.3296,77.27
85,0.1126,99.16,1.3311,77.40
86,0.1149,99.17,1.3228,77.31
87,0.1183,99.20,1.3047,78.00
88,0.1070,99.27,1.3466,78.05
89,0.1251,99.12,1.2914,78.12
90,0.0986,99.35,1.3212,77.97
91,0.1073,99.26,1.3204,77.85
92,0.1028,99.32,1.3642,77.54
93,0.1053,99.30,1.3400,77.61
94,0.0917,99.37,1.3599,77.82
95,0.1092,99.25,1.3640,77.65
96,0.1058,99.29,1.3366,77.54
97,0.0876,99.42,1.3759,77.65
98,0.1025,99.32,1.3064,78.33
99,0.0829,99.42,1.4108,77.75
