epoch,train_loss,train_acc,test_loss,test_acc
0,9.9826,17.61,1.8475,21.10
1,8.6901,26.46,1.6284,32.41
2,7.2675,42.11,1.3222,51.92
3,5.7195,57.57,1.0536,62.82
4,4.6981,66.37,0.9565,67.10
5,3.9270,71.95,0.8693,69.96
6,3.3704,76.58,0.7808,74.83
7,2.8903,80.06,0.8351,74.39
8,2.5159,82.77,0.8510,73.55
9,2.1327,85.25,0.7714,76.70
10,1.9470,86.73,0.7869,76.80
11,1.6460,88.82,0.8505,76.99
12,1.4669,90.24,0.9159,77.55
13,1.2946,91.51,0.8846,76.80
14,1.1745,92.35,0.9048,77.34
15,1.0447,93.06,0.9780,77.61
16,0.9460,93.88,0.8897,78.61
17,0.7716,95.01,1.0156,77.69
18,0.8012,95.07,1.0188,78.71
19,0.7475,95.33,1.0532,77.50
20,0.7101,95.50,1.1957,78.44
21,0.6192,96.17,1.2207,78.71
22,0.6546,96.09,0.9645,77.70
23,0.5707,96.51,1.1832,78.28
24,0.5905,96.45,1.0579,77.44
25,0.4868,96.99,1.2092,78.22
26,0.4803,97.13,1.0756,78.20
27,0.5252,97.00,1.1041,79.26
28,0.4291,97.45,1.1587,77.85
29,0.4542,97.28,1.2237,78.31
30,0.5616,96.73,1.1921,79.11
31,0.9393,94.22,1.2452,77.74
32,0.4135,97.55,1.0214,77.74
33,0.3672,97.87,1.3983,78.89
34,0.3966,97.65,1.4881,78.50
35,0.3433,97.99,1.1945,79.34
36,0.3473,98.01,1.2090,77.62
37,0.3830,97.73,1.2399,79.49
38,0.3451,97.95,1.1503,78.64
39,0.3210,98.14,1.3740,79.58
40,0.3347,98.03,1.4813,78.00
41,0.3672,97.98,1.2196,79.54
42,0.3509,97.97,1.4060,78.87
43,1.1455,93.32,1.0882,78.18
44,0.5216,96.81,1.1272,78.58
45,0.2824,98.37,1.1869,79.77
46,0.1991,98.88,1.4862,79.10
47,0.2829,98.41,1.4585,79.58
48,0.2985,98.25,1.1468,78.40
49,0.2346,98.59,1.4151,78.08
50,0.2784,98.42,1.2188,79.38
51,0.2771,98.46,1.3656,79.87
52,0.4990,97.27,1.2794,78.41
53,0.2733,98.44,1.3708,78.82
54,0.2705,98.55,1.3245,79.54
55,0.2414,98.65,1.5811,79.81
56,0.6217,96.43,1.2949,77.95
57,0.4150,97.69,1.0975,78.79
58,0.2999,98.41,1.0822,78.44
59,0.3164,98.30,1.2518,78.76
60,0.2868,98.46,1.2756,77.65
61,0.3188,98.37,1.3839,78.78
62,0.1939,99.03,1.6722,79.20
63,0.2790,98.46,1.3240,79.45
64,0.4062,97.89,1.2903,79.54
65,0.2823,98.42,1.3045,78.81
66,0.3400,98.18,1.3879,79.04
67,0.3172,98.37,1.3811,78.34
68,0.1985,98.96,1.3430,78.70
69,0.4239,97.72,1.2530,78.75
70,0.2485,98.68,1.3579,78.50
71,0.4285,97.85,1.2956,77.25
72,0.2515,98.71,1.3989,79.93
73,0.1811,99.08,1.5005,80.00
74,0.1916,99.03,1.5214,78.94
75,0.4028,97.94,1.2110,79.07
