Time stamp,Power,avg_temp
1677122240.9785993, 0.0, 44.25
1677122241.1790683, 4.137, 42.75
1677122241.379541, 4.137, 41.75
1677122241.5800033, 4.137, 41.5
1677122241.7804618, 4.137, 41.0
1677122241.9809482, 4.137, 40.5
1677122242.1814263, 2.928, 40.5
1677122242.3818862, 2.928, 40.5
1677122242.5823333, 2.928, 40.25
1677122242.7827885, 2.928, 40.25
1677122242.9832969, 2.928, 40.5
1677122243.1837637, 2.947, 39.75
1677122243.3842278, 2.947, 39.75
1677122243.5847092, 2.947, 39.75
1677122243.7851665, 2.947, 39.5
1677122243.9856253, 2.947, 39.5
1677122244.1860998, 3.019, 39.25
1677122244.3866005, 3.019, 39.25
1677122244.587054, 3.019, 39.5
1677122244.7874918, 3.019, 39.25
1677122244.9879525, 3.019, 39.25
1677122245.1884155, 2.87, 39.5
1677122245.3889112, 2.87, 39.0
1677122245.5893798, 2.87, 39.25
1677122245.7898695, 2.87, 39.0
1677122245.9903207, 2.87, 39.0
1677122246.1907802, 2.87, 39.0
1677122246.3912392, 2.912, 38.75
1677122246.5917041, 2.912, 38.5
1677122246.792173, 2.912, 38.5
1677122246.99263, 2.912, 38.5
1677122247.1931176, 2.824, 38.75
1677122247.393587, 2.824, 38.75
1677122247.594041, 2.824, 38.25
1677122247.7945032, 2.824, 38.5
1677122247.9950697, 2.824, 38.5
1677122248.1955338, 2.744, 38.5
1677122248.395989, 2.744, 38.25
1677122248.596441, 2.744, 38.25
1677122248.7969377, 2.744, 38.25
1677122248.9973986, 2.744, 38.5
1677122249.1978645, 2.771, 38.25
1677122249.398332, 2.771, 38.25
1677122249.598789, 2.771, 38.5
1677122249.799246, 2.771, 38.25
1677122249.9997318, 2.771, 38.25
1677122250.2002542, 2.928, 38.5
1677122250.4007137, 2.928, 38.0
1677122250.601186, 2.928, 38.0
1677122250.8016913, 2.928, 38.0
1677122251.002167, 2.928, 39.0
1677122251.2026794, 3.046, 41.5
1677122251.4032135, 3.046, 41.25
1677122251.6037333, 3.046, 43.25
1677122251.8042283, 3.046, 42.75
1677122252.004729, 3.046, 43.75
1677122252.2052674, 4.412, 44.5
1677122252.405843, 4.412, 44.5
1677122252.6063383, 4.412, 43.5
1677122252.80683, 4.412, 44.0
1677122253.0073376, 4.412, 42.75
1677122253.2078462, 4.26, 44.5
1677122253.408409, 4.26, 46.0
1677122253.6090574, 4.26, 45.25
1677122253.8095672, 4.26, 44.5
1677122254.0119088, 4.26, 44.75
1677122254.2124248, 4.718, 44.75
1677122254.4130442, 4.718, 46.0
1677122254.6135767, 4.718, 49.75
1677122254.8140805, 4.718, 52.5
1677122255.0145955, 4.718, 54.25
1677122255.2151232, 8.611, 55.25
1677122255.4156976, 8.611, 55.75
1677122255.6162205, 8.611, 56.0
1677122255.8167298, 8.611, 56.25
1677122256.0172338, 8.611, 57.25
1677122256.2177083, 8.615, 57.25
1677122256.4182098, 8.615, 57.75
1677122256.6187363, 8.615, 58.0
1677122256.8193147, 8.615, 58.5
1677122257.0198205, 8.615, 58.5
1677122257.2203538, 8.615, 59.25
1677122257.420917, 8.615, 59.75
1677122257.6214256, 8.615, 59.5
1677122257.8219435, 8.615, 59.5
1677122258.022516, 8.615, 59.5
1677122258.2230244, 8.008, 59.5
1677122258.4235837, 8.008, 59.75
1677122258.6242065, 8.008, 60.0
1677122258.8246963, 8.008, 59.75
1677122259.0251234, 8.008, 59.25
1677122259.2256265, 8.466, 60.0
1677122259.4261394, 8.466, 59.75
1677122259.626638, 8.466, 60.5
1677122259.8271537, 8.466, 60.75
1677122260.027668, 8.466, 60.5
1677122260.228232, 8.618, 61.0
1677122260.428716, 8.618, 60.75
1677122260.6291428, 8.618, 60.5
1677122260.8296416, 8.618, 60.0
1677122261.0301635, 8.618, 59.5
1677122261.2306957, 8.34, 61.0
1677122261.43127, 8.34, 61.25
1677122261.6317768, 8.34, 60.75
1677122261.8323188, 8.34, 61.25
1677122262.0329216, 8.34, 61.5
1677122262.233493, 8.813, 61.25
1677122262.4339883, 8.813, 61.0
1677122262.6345086, 8.813, 61.75
1677122262.8350472, 8.813, 61.25
1677122263.0355783, 8.813, 61.0
1677122263.236153, 8.409, 61.5
1677122263.4366434, 8.409, 61.75
1677122263.6371405, 8.409, 60.75
1677122263.837681, 8.409, 62.0
1677122264.0382304, 8.409, 61.75
1677122264.2387433, 8.523, 62.0
1677122264.4392715, 8.523, 62.25
1677122264.639825, 8.523, 61.5
1677122264.840376, 8.523, 62.0
1677122265.0409467, 8.523, 62.0
1677122265.2414653, 8.523, 62.5
1677122265.4420028, 8.477, 62.0
1677122265.6425252, 8.477, 62.25
1677122265.8430321, 8.477, 62.0
1677122266.043555, 8.477, 62.0
1677122266.2440777, 8.454, 62.0
