Time stamp,Power,avg_temp
1677120498.2204819, 0.0, 38.5
1677120498.4210882, 0.0, 37.0
1677120498.6215978, 0.0, 35.5
1677120498.822103, 0.0, 35.5
1677120499.0225766, 0.0, 34.5
1677120499.223084, 2.97, 34.75
1677120499.4236543, 2.97, 34.75
1677120499.6241884, 2.97, 34.5
1677120499.824709, 2.97, 34.75
1677120500.025213, 2.97, 34.25
1677120500.2257235, 2.97, 34.5
1677120500.426247, 2.97, 34.25
1677120500.6267536, 2.97, 33.75
1677120500.8272364, 2.97, 34.5
1677120501.0277357, 2.97, 34.0
1677120501.2282426, 2.97, 34.5
1677120501.42874, 2.97, 33.75
1677120501.629274, 2.97, 34.0
1677120501.8298051, 2.97, 34.5
1677120502.0303245, 2.97, 34.0
1677120502.2308211, 3.038, 34.25
1677120502.4313247, 3.038, 33.75
1677120502.631815, 3.038, 34.5
1677120502.832398, 3.038, 34.0
1677120503.0329382, 3.038, 34.0
1677120503.233515, 2.893, 37.75
1677120503.4340124, 2.893, 35.5
1677120503.6344826, 2.893, 34.75
1677120503.834951, 2.893, 34.25
1677120504.0354166, 2.893, 34.5
1677120504.2359157, 2.855, 34.0
1677120504.4363954, 2.855, 33.75
1677120504.636923, 2.855, 34.25
1677120504.8374362, 2.855, 35.0
1677120505.037922, 2.855, 35.0
1677120505.2383907, 3.363, 33.75
1677120505.4388676, 3.363, 34.0
1677120505.639345, 3.363, 33.75
1677120505.839827, 3.363, 33.75
1677120506.040381, 3.363, 34.25
1677120506.240893, 2.95, 33.5
1677120506.441368, 2.95, 33.75
1677120506.641846, 2.95, 33.5
1677120506.8423247, 2.95, 33.5
1677120507.042847, 2.95, 33.75
1677120507.243337, 2.866, 33.5
1677120507.4437976, 2.866, 33.75
1677120507.6442688, 2.866, 33.5
1677120507.844734, 2.866, 33.75
1677120508.0450912, 2.866, 33.5
1677120508.2455943, 2.943, 34.75
1677120508.4461427, 2.943, 35.75
1677120508.6466625, 2.943, 36.5
1677120508.8471534, 2.943, 36.25
1677120509.047675, 2.943, 36.25
1677120509.248155, 3.645, 36.75
1677120509.4486847, 3.645, 36.0
1677120509.649174, 3.645, 36.5
1677120509.8496947, 3.645, 37.75
