Time stamp,Power,avg_temp
1677126660.8827655, 0.0, 39.166
1677126661.0833309, 0.0, 39.166
1677126661.2838187, 3.424, 38.628
1677126661.4843197, 3.424, 38.628
1677126661.6848006, 3.424, 39.166
1677126661.885307, 3.424, 38.628
1677126662.085797, 3.424, 39.166
1677126662.28627, 3.565, 38.628
1677126662.4867618, 3.565, 39.166
1677126662.6872747, 3.565, 38.628
1677126662.8877633, 3.565, 39.166
1677126663.0883663, 3.565, 38.628
1677126663.288846, 3.454, 39.166
1677126663.48939, 3.454, 38.628
1677126663.6900096, 3.454, 38.628
1677126663.8905032, 3.454, 38.628
1677126664.0909936, 3.454, 38.628
1677126664.2916281, 3.492, 39.166
1677126664.4922242, 3.492, 39.166
1677126664.6928306, 3.492, 39.166
1677126664.893434, 3.492, 38.628
1677126665.094002, 3.492, 39.166
1677126665.2946215, 3.286, 38.628
1677126665.4953163, 3.286, 38.628
1677126665.6959054, 3.286, 38.628
1677126665.8965213, 3.286, 38.628
1677126666.0971437, 3.286, 38.628
1677126666.2977521, 3.286, 38.628
1677126666.4983432, 3.286, 38.09
1677126666.6989279, 3.286, 38.628
1677126666.8995874, 3.286, 38.09
1677126667.1001685, 3.286, 38.628
1677126667.300802, 3.26, 38.628
1677126667.501399, 3.26, 38.628
1677126667.7020068, 3.26, 37.552
1677126667.9025884, 3.26, 38.628
1677126668.1032057, 3.26, 38.628
1677126668.3037968, 3.221, 38.628
1677126668.5043867, 3.221, 38.09
1677126668.7050302, 3.221, 38.628
1677126668.9056504, 3.221, 38.628
1677126669.1064374, 3.221, 37.552
1677126669.3070202, 3.286, 37.552
1677126669.5078924, 3.286, 38.628
1677126669.7084804, 3.286, 38.628
1677126669.9091358, 3.286, 38.628
1677126670.109746, 3.286, 38.628
1677126670.3103268, 3.221, 38.628
1677126670.511054, 3.221, 38.628
1677126670.711519, 3.221, 38.628
1677126670.9121776, 3.221, 39.704
1677126671.1128268, 5.149, 39.166
1677126671.3133757, 5.149, 39.704
1677126671.5139802, 5.149, 39.704
1677126671.7145596, 5.149, 39.704
1677126671.9150932, 5.149, 40.78
1677126672.115647, 5.107, 40.78
1677126672.31633, 5.107, 40.78
1677126672.516895, 5.107, 41.318
1677126672.717499, 5.107, 40.78
1677126672.9180894, 5.107, 40.78
1677126673.1186514, 5.149, 40.78
1677126673.3192928, 5.149, 41.856
1677126673.519842, 5.149, 41.856
1677126673.72038, 5.149, 41.856
1677126673.9209743, 5.149, 42.394
1677126674.121635, 5.088, 41.856
1677126674.3221767, 5.088, 42.394
1677126674.5227818, 5.088, 41.856
1677126674.7233224, 5.088, 42.932
1677126674.9238725, 5.088, 41.856
1677126675.1244211, 5.244, 42.932
1677126675.324969, 5.244, 42.932
1677126675.5255313, 5.244, 42.932
1677126675.7260938, 5.244, 42.932
1677126675.9266295, 5.244, 42.932
1677126676.1273413, 5.138, 42.932
1677126676.3279684, 5.138, 43.47
1677126676.5285258, 5.138, 43.47
1677126676.729186, 5.138, 43.47
1677126676.929716, 5.138, 42.932
1677126677.130249, 5.088, 42.932
1677126677.3308449, 5.088, 43.47
1677126677.5314665, 5.088, 43.47
1677126677.7320738, 5.088, 44.008
1677126677.932816, 5.088, 43.47
1677126678.1333594, 5.195, 43.47
1677126678.3340187, 5.195, 44.008
1677126678.5345757, 5.195, 43.47
1677126678.7351289, 5.195, 43.47
1677126678.9357498, 5.195, 43.47
1677126679.1362789, 5.168, 44.008
1677126679.337098, 5.168, 44.008
1677126679.537902, 5.168, 43.47
1677126679.7385082, 5.168, 43.47
1677126679.9393284, 5.168, 44.008
1677126680.1398437, 5.195, 44.546
1677126680.3403938, 5.195, 44.008
1677126680.5409915, 5.195, 44.546
1677126680.741643, 5.195, 44.546
1677126680.9422193, 5.195, 44.008
1677126681.142802, 5.179, 44.008
1677126681.343439, 5.179, 44.546
1677126681.5441868, 5.179, 44.546
1677126681.7447433, 5.179, 44.546
1677126681.94526, 5.179, 44.008
1677126682.1459026, 5.172, 43.47
1677126682.3465168, 5.172, 44.008
1677126682.5473168, 5.172, 44.546
1677126682.7478714, 5.172, 44.008
1677126682.948545, 5.172, 44.546
1677126683.1492286, 5.195, 45.084
1677126683.349782, 5.195, 45.084
1677126683.5503476, 5.195, 44.008
1677126683.7512589, 5.195, 44.546
1677126683.952001, 5.195, 44.546
1677126684.15253, 5.145, 45.084
1677126684.3530483, 5.145, 44.546
1677126684.5536296, 5.145, 45.084
1677126684.7541366, 5.145, 45.084
1677126684.9546952, 5.145, 45.084
1677126685.1554916, 5.21, 44.546
1677126685.3560824, 5.21, 45.084
1677126685.5565944, 5.21, 44.546
1677126685.757397, 5.21, 45.084
1677126685.9579244, 5.21, 45.084
1677126686.158716, 5.241, 44.546
1677126686.3594384, 5.241, 44.546
1677126686.559998, 5.241, 45.084
1677126686.760562, 5.241, 45.084
1677126686.9611447, 5.241, 45.084
1677126687.1617084, 5.21, 45.084
1677126687.3623147, 5.21, 45.084
1677126687.5628715, 5.21, 45.084
1677126687.7636063, 5.21, 45.084
1677126687.9643166, 5.21, 45.084
1677126688.1650147, 5.168, 45.084
1677126688.36557, 5.168, 45.084
1677126688.566393, 5.168, 45.084
1677126688.7669628, 5.168, 45.622
1677126688.9675379, 5.168, 45.084
1677126689.1681042, 5.168, 45.084
1677126689.3687558, 5.202, 45.084
1677126689.569296, 5.202, 45.084
1677126689.7698715, 5.202, 45.084
1677126689.9704313, 5.202, 45.084
1677126690.1710413, 5.191, 45.084
1677126690.3715968, 5.191, 45.084
