Time stamp,Power,avg_temp
1678233114.2336676, 0.0, 57.5
1678233114.434217, 0.0, 55.5
1678233114.6347032, 0.0, 56.75
1678233114.8352387, 0.0, 56.75
1678233115.0386677, 0.0, 56.0
1678233115.2392433, 0.0, 58.5
1678233115.4397552, 6.794, 58.75
1678233115.6402972, 6.794, 59.0
1678233115.8407726, 6.794, 59.25
1678233116.0413487, 6.794, 59.25
1678233116.241813, 7.691, 59.75
1678233116.4423072, 7.691, 59.5
1678233116.6428103, 7.691, 59.75
1678233116.8432817, 7.691, 59.5
1678233117.0437984, 7.691, 59.5
1678233117.244325, 7.958, 59.75
1678233117.4448216, 7.958, 59.75
1678233117.645373, 7.958, 59.75
1678233117.845834, 7.958, 60.0
1678233118.046278, 7.958, 59.75
1678233118.2467203, 8.126, 59.75
1678233118.447249, 8.126, 59.75
1678233118.6477861, 8.126, 59.5
1678233118.8482928, 8.126, 59.75
1678233119.0488117, 8.126, 59.25
1678233119.2493691, 7.87, 60.0
1678233119.4498823, 7.87, 60.0
1678233119.650377, 7.87, 60.0
1678233119.850873, 7.87, 60.0
1678233120.0513692, 7.87, 59.5
1678233120.2518346, 7.87, 60.0
1678233120.4522831, 8.141, 59.75
1678233120.652708, 8.141, 59.75
1678233120.853326, 8.141, 59.25
1678233121.053844, 8.141, 59.5
1678233121.2543213, 7.996, 59.0
1678233121.4548614, 7.996, 59.5
1678233121.6553657, 7.996, 59.0
1678233121.855851, 7.996, 59.25
1678233122.0563283, 8.076, 59.5
1678233122.2568104, 8.076, 59.0
1678233122.4573624, 8.076, 59.75
1678233122.6578631, 8.076, 59.75
1678233122.8583333, 8.076, 59.5
1678233123.058803, 8.076, 59.0
1678233123.2592218, 8.076, 59.25
1678233123.4597065, 7.786, 59.0
1678233123.66027, 7.786, 59.0
1678233123.860835, 7.786, 59.0
1678233124.0614684, 7.786, 58.75
1678233124.2619762, 8.015, 59.0
1678233124.4624932, 8.015, 59.25
1678233124.663019, 8.015, 59.25
1678233124.8634973, 8.015, 59.25
1678233125.063979, 8.015, 59.25
1678233125.2644572, 7.909, 59.5
1678233125.4649649, 7.909, 59.5
1678233125.665474, 7.909, 59.25
1678233125.865914, 7.909, 59.5
1678233126.0664492, 7.798, 59.0
1678233126.267029, 7.798, 59.0
1678233126.4675765, 7.798, 58.75
1678233126.6680577, 7.798, 58.75
1678233126.8685718, 7.798, 58.5
1678233127.069146, 7.798, 58.75
1678233127.2696705, 7.515, 59.25
1678233127.4701555, 7.515, 59.0
1678233127.670617, 7.515, 59.0
1678233127.8711033, 7.515, 59.25
1678233128.0715663, 7.515, 58.75
1678233128.2720666, 8.038, 58.75
1678233128.4725766, 8.038, 59.25
1678233128.67315, 8.038, 59.25
1678233128.8736293, 8.038, 59.0
1678233129.0740705, 8.038, 59.0
1678233129.2745523, 8.08, 59.0
1678233129.4749818, 8.08, 58.5
1678233129.6755335, 8.08, 58.5
1678233129.8760922, 8.08, 58.75
1678233130.0766387, 8.08, 58.75
1678233130.27726, 7.783, 58.5
1678233130.4777884, 7.783, 58.75
1678233130.678232, 7.783, 58.75
1678233130.8786712, 7.783, 58.75
1678233131.0791898, 7.764, 59.0
1678233131.2797647, 7.764, 58.75
1678233131.480221, 7.764, 59.0
1678233131.6808052, 7.764, 58.5
1678233131.8814158, 7.764, 58.5
1678233132.081964, 7.764, 58.5
1678233132.282475, 7.764, 58.75
1678233132.4829414, 7.805, 58.5
1678233132.6834629, 7.805, 58.75
1678233132.8839686, 7.805, 58.5
1678233133.0844781, 7.805, 58.75
1678233133.2849936, 7.748, 56.5
1678233133.4853613, 7.748, 58.0
1678233133.6858556, 7.748, 58.0
1678233133.88634, 7.748, 58.0
1678233134.0868413, 7.748, 58.5
1678233134.2873504, 7.649, 58.5
1678233134.4878938, 7.649, 58.5
1678233134.6883478, 7.649, 58.75
1678233134.8888867, 7.649, 58.5
1678233135.089525, 7.748, 58.25
1678233135.2901824, 7.748, 58.5
1678233135.4908307, 7.748, 58.5
1678233135.6914444, 7.748, 58.75
1678233135.8921156, 7.748, 58.5
1678233136.0927312, 8.054, 58.75
1678233136.2934186, 8.054, 58.5
1678233136.4940135, 8.054, 58.25
1678233136.694688, 8.054, 58.5
1678233136.8959625, 8.054, 58.5
1678233137.0964825, 8.054, 58.5
1678233137.2970254, 7.813, 58.0
1678233137.497342, 7.813, 58.25
1678233137.697891, 7.813, 58.0
1678233137.8984382, 7.813, 58.5
1678233138.0989442, 7.813, 58.5
1678233138.299458, 7.912, 58.0
1678233138.499959, 7.912, 58.25
1678233138.700471, 7.912, 58.5
1678233138.9009657, 7.912, 58.5
1678233139.1014452, 7.68, 58.5
1678233139.3019295, 7.68, 58.25
1678233139.50246, 7.68, 58.25
1678233139.7029805, 7.68, 58.25
1678233139.903474, 7.68, 58.75
1678233140.103974, 7.771, 58.5
1678233140.3045087, 7.771, 58.5
1678233140.5050232, 7.771, 58.75
1678233140.7053504, 7.771, 58.5
1678233140.905921, 7.771, 58.0
1678233141.1064808, 7.771, 58.5
1678233141.3070471, 7.878, 58.0
1678233141.5075343, 7.878, 58.25
1678233141.7080178, 7.878, 58.25
1678233141.9084783, 7.878, 58.0
1678233142.1089716, 7.878, 58.25
1678233142.3093944, 7.878, 58.0
1678233142.5098953, 7.771, 58.5
1678233142.7104053, 7.771, 58.5
1678233142.9109159, 7.771, 58.5
1678233143.111377, 7.832, 58.25
1678233143.311855, 7.832, 58.25
1678233143.5123937, 7.832, 58.25
1678233143.712836, 7.832, 58.5
1678233143.9134567, 7.832, 58.25
1678233144.1140006, 7.832, 58.0
1678233144.3145375, 7.626, 58.25
1678233144.5150664, 7.626, 58.0
1678233144.7155683, 7.626, 58.0
1678233144.9161363, 7.626, 58.0
1678233145.1166105, 7.626, 58.0
1678233145.3172383, 7.878, 58.5
1678233145.5177395, 7.878, 58.25
1678233145.7181861, 7.878, 58.5
1678233145.9186726, 7.878, 58.5
1678233146.1192214, 7.878, 58.0
1678233146.3197637, 7.878, 57.75
1678233146.520332, 7.962, 58.0
1678233146.720878, 7.962, 58.0
1678233146.9213858, 7.962, 58.25
1678233147.1218545, 7.962, 58.5
1678233147.3223839, 7.596, 58.0
1678233147.522856, 7.596, 58.25
1678233147.7233317, 7.596, 58.5
1678233147.9238265, 7.596, 58.75
1678233148.1243093, 8.008, 58.0
1678233148.3247335, 8.008, 58.0
1678233148.5258331, 8.008, 58.25
1678233148.7263908, 8.008, 57.75
1678233148.9269395, 8.008, 57.75
1678233149.1274936, 8.008, 58.0
1678233149.328038, 8.008, 58.0
1678233149.528585, 8.008, 58.0
1678233149.729213, 8.008, 58.0
1678233149.9297514, 8.008, 57.75
1678233150.1302598, 7.851, 57.75
1678233150.3307786, 7.851, 58.25
1678233150.5313091, 7.851, 58.25
1678233150.7318127, 7.851, 58.0
1678233150.9322753, 7.851, 58.75
1678233151.1329396, 7.851, 58.25
1678233151.3334217, 8.061, 57.75
1678233151.5339634, 8.061, 57.75
1678233151.734485, 8.061, 58.0
1678233151.9350152, 8.061, 57.75
1678233152.135544, 7.767, 57.75
1678233152.3360438, 7.767, 57.75
1678233152.5365477, 7.767, 58.25
1678233152.7370524, 7.767, 57.75
1678233152.9375765, 7.767, 58.0
1678233153.1380725, 7.76, 58.25
1678233153.3385763, 7.76, 58.25
1678233153.5390656, 7.76, 58.25
1678233153.739556, 7.76, 58.0
1678233153.9400537, 7.76, 58.25
1678233154.1405487, 8.073, 57.75
1678233154.3410337, 8.073, 58.25
1678233154.541406, 8.073, 58.25
1678233154.7418609, 8.073, 58.5
1678233154.9423764, 8.073, 58.25
1678233155.1428378, 8.035, 57.75
1678233155.3434355, 8.035, 57.75
1678233155.5439832, 8.035, 58.0
1678233155.7445629, 8.035, 57.75
1678233155.9451199, 8.035, 57.5
1678233156.1493216, 8.035, 57.5
1678233156.3498583, 7.935, 57.75
1678233156.5504131, 7.935, 58.0
1678233156.7509058, 7.935, 57.75
1678233156.9513888, 7.935, 57.75
1678233157.1518679, 7.996, 57.75
1678233157.35233, 7.996, 58.0
1678233157.5528262, 7.996, 58.0
1678233157.7532713, 7.996, 57.75
1678233157.9538114, 7.996, 57.75
1678233158.1543872, 7.909, 57.75
1678233158.3549476, 7.909, 57.5
1678233158.5554345, 7.909, 57.75
1678233158.7559319, 7.909, 57.75
1678233158.9564362, 7.909, 57.75
1678233159.1569355, 7.779, 57.75
1678233159.357394, 7.779, 58.0
1678233159.5578935, 7.779, 58.0
1678233159.7583961, 7.779, 58.0
1678233159.9589026, 7.779, 58.0
1678233160.1593695, 8.004, 57.5
1678233160.3598251, 8.004, 58.5
1678233160.5602882, 8.004, 57.5
1678233160.760784, 8.004, 58.0
1678233160.961303, 8.004, 57.75
1678233161.1618009, 7.882, 57.75
1678233161.3623059, 7.882, 58.0
1678233161.5628116, 7.882, 58.0
1678233161.7632859, 7.882, 57.75
1678233161.9638402, 7.882, 57.5
1678233162.1644077, 7.565, 57.5
1678233162.36499, 7.565, 57.75
1678233162.5654101, 7.565, 57.5
1678233162.7659316, 7.565, 57.75
1678233162.9664323, 7.565, 57.5
1678233163.1669567, 8.057, 57.75
1678233163.3674507, 8.057, 57.5
1678233163.5679328, 8.057, 57.75
1678233163.7684407, 8.057, 58.0
1678233163.9689217, 8.057, 58.0
1678233164.169373, 7.817, 58.0
1678233164.3698955, 7.817, 57.5
1678233164.5703416, 7.817, 57.75
1678233164.7709408, 7.817, 57.75
1678233164.9714823, 7.817, 57.5
1678233165.1719947, 7.722, 57.5
1678233165.3724577, 7.722, 57.25
1678233165.5729523, 7.722, 57.75
1678233165.7733078, 7.722, 57.5
1678233165.9738605, 7.722, 57.75
1678233166.1743922, 7.733, 57.75
1678233166.3748946, 7.733, 57.75
1678233166.5753703, 7.733, 57.75
1678233166.7758775, 7.733, 57.75
1678233166.9763746, 7.733, 57.5
1678233167.176839, 7.916, 58.25
1678233167.377506, 7.916, 57.75
1678233167.5779376, 7.916, 57.5
1678233167.7783892, 7.916, 56.0
1678233167.9789011, 7.916, 55.25
1678233168.179469, 7.916, 56.25
1678233168.3800063, 7.916, 56.75
1678233168.5804987, 6.809, 56.75
1678233168.7810001, 6.809, 57.0
1678233168.9813764, 6.809, 57.5
1678233169.1818924, 7.657, 57.5
1678233169.382348, 7.657, 57.5
1678233169.5829034, 7.657, 57.5
1678233169.7834642, 7.657, 57.5
1678233169.9839916, 7.657, 57.25
1678233170.1844988, 7.664, 57.25
1678233170.3850195, 7.664, 57.75
1678233170.5854974, 7.664, 57.25
1678233170.7859666, 7.664, 57.5
1678233170.9864821, 7.664, 57.5
1678233171.1870255, 7.958, 57.5
1678233171.3875551, 7.958, 57.75
1678233171.5880618, 7.958, 58.0
1678233171.7885122, 7.958, 57.5
1678233171.989047, 7.958, 57.5
1678233172.1895077, 7.695, 57.75
1678233172.3900075, 7.695, 57.75
1678233172.590494, 7.695, 57.25
1678233172.791001, 7.695, 58.0
1678233172.9915369, 7.695, 57.75
1678233173.1920137, 7.695, 57.75
1678233173.3924983, 8.107, 58.0
1678233173.5929613, 8.107, 57.75
1678233173.793306, 8.107, 57.5
1678233173.993858, 8.107, 57.75
1678233174.194336, 8.107, 57.5
1678233174.39485, 7.916, 57.75
1678233174.595363, 7.916, 57.5
1678233174.795852, 7.916, 58.0
1678233174.9975793, 7.916, 57.75
1678233175.1982598, 7.916, 57.75
1678233175.3989248, 7.599, 57.5
1678233175.599619, 7.599, 57.5
1678233175.8002496, 7.599, 57.5
1678233176.001489, 7.599, 57.5
1678233176.2021313, 7.741, 57.5
1678233176.4026227, 7.741, 57.25
1678233176.6031134, 7.741, 57.75
1678233176.8035715, 7.741, 57.75
1678233177.0040226, 7.741, 57.5
1678233177.2045872, 7.599, 57.25
1678233177.4052022, 7.599, 57.0
1678233177.6057355, 7.599, 57.5
1678233177.8062577, 7.599, 57.0
1678233178.0075564, 7.599, 57.5
1678233178.2080493, 7.645, 57.25
1678233178.4085462, 7.645, 57.75
1678233178.6090398, 7.645, 58.0
1678233178.809349, 7.645, 57.75
1678233179.009862, 7.645, 57.5
1678233179.21042, 7.744, 57.75
1678233179.4109964, 7.744, 57.5
1678233179.6142237, 7.744, 57.5
1678233179.8147311, 7.744, 57.5
1678233180.0152032, 7.744, 57.5
1678233180.2156954, 7.951, 57.75
1678233180.4161928, 7.951, 57.75
1678233180.6166692, 7.951, 58.0
1678233180.817167, 7.951, 57.75
1678233181.0176299, 7.951, 57.5
1678233181.2181993, 7.863, 57.5
1678233181.4187639, 7.863, 57.75
1678233181.6192477, 7.863, 57.25
1678233181.8197727, 7.863, 57.25
1678233182.0202205, 7.863, 57.75
1678233182.2207031, 7.828, 57.25
1678233182.4212704, 7.828, 57.75
1678233182.621733, 7.828, 58.0
1678233182.8222497, 7.828, 57.25
1678233183.0228043, 7.828, 57.5
1678233183.2233512, 7.828, 57.5
1678233183.4239097, 7.905, 57.75
1678233183.6244817, 7.905, 57.5
1678233183.825008, 7.905, 57.25
1678233184.0254133, 7.905, 57.75
1678233184.2258766, 7.687, 57.25
1678233184.426343, 7.687, 57.75
1678233184.6267657, 7.687, 59.0
1678233184.8273244, 7.687, 57.0
1678233185.0278566, 7.687, 57.0
1678233185.2283742, 7.657, 57.25
1678233185.428861, 7.657, 57.0
1678233185.629388, 7.657, 57.5
