Time stamp,Power,avg_temp
1678232021.0604372, 0.0, 55.75
1678232021.260898, 0.0, 55.0
1678232021.4613686, 0.0, 54.0
1678232021.6618884, 0.0, 53.5
1678232021.86236, 0.0, 53.75
1678232022.062923, 0.0, 57.0
1678232022.2635138, 5.825, 59.75
1678232022.4640245, 5.825, 61.0
1678232022.6645079, 5.825, 62.0
1678232022.8649738, 5.825, 63.0
1678232023.0654538, 5.825, 62.5
1678232023.26604, 9.439, 62.5
1678232023.4665768, 9.439, 62.75
1678232023.6670966, 9.439, 63.5
1678232023.8676121, 9.439, 64.25
1678232024.0680947, 9.439, 63.0
1678232024.2686646, 9.912, 63.75
1678232024.4692569, 9.912, 63.75
1678232024.6697328, 9.912, 64.0
1678232024.8702147, 9.912, 64.75
1678232025.070843, 9.912, 65.75
1678232025.271449, 9.893, 64.0
1678232025.4721298, 9.893, 64.25
1678232025.6727822, 9.893, 64.5
1678232025.873474, 9.893, 65.25
1678232026.074121, 9.592, 65.0
1678232026.2748208, 9.592, 64.5
1678232026.4754908, 9.592, 64.5
1678232026.676144, 9.592, 64.75
1678232026.8767903, 9.592, 65.75
1678232027.077475, 9.592, 66.0
1678232027.278055, 9.767, 64.75
1678232027.4787338, 9.767, 64.75
1678232027.6794558, 9.767, 64.75
1678232027.8800588, 9.767, 65.0
1678232028.0806599, 9.767, 65.75
1678232028.281356, 9.935, 66.5
1678232028.481952, 9.935, 64.75
1678232028.682567, 9.935, 65.0
1678232028.883194, 9.935, 64.75
1678232029.0838115, 9.935, 65.25
1678232029.2844062, 9.912, 65.5
1678232029.4850457, 9.912, 66.0
1678232029.6854742, 9.912, 66.0
1678232029.8861794, 9.912, 64.5
1678232030.0868762, 9.729, 64.75
1678232030.2875247, 9.729, 65.0
1678232030.488151, 9.729, 66.0
1678232030.6887574, 9.729, 66.25
1678232030.8894594, 9.729, 64.75
1678232031.0901358, 9.58, 64.75
1678232031.2908063, 9.58, 65.0
1678232031.4914575, 9.58, 65.25
1678232031.6921, 9.58, 66.25
1678232031.89278, 9.58, 66.0
1678232032.0934982, 9.58, 64.75
1678232032.2941484, 9.786, 65.0
1678232032.4948213, 9.786, 65.25
1678232032.695449, 9.786, 65.5
1678232032.8960922, 9.786, 65.75
1678232033.0967402, 9.786, 66.5
1678232033.2974026, 9.786, 66.5
1678232033.4979985, 9.786, 65.5
1678232033.6987333, 9.786, 64.75
1678232033.8993576, 9.786, 65.0
1678232034.1000063, 9.786, 65.25
1678232034.300607, 9.786, 66.5
1678232034.501293, 9.786, 66.75
1678232034.701911, 9.63, 65.25
1678232034.9025521, 9.63, 65.5
1678232035.1032557, 9.63, 65.25
1678232035.3039248, 9.634, 65.25
1678232035.5045154, 9.634, 66.0
1678232035.7051644, 9.634, 66.75
1678232035.905794, 9.634, 65.5
1678232036.1064389, 9.634, 65.25
1678232036.3070712, 9.928, 65.25
1678232036.5077286, 9.928, 65.5
1678232036.7083244, 9.928, 66.0
1678232036.9089506, 9.928, 66.75
1678232037.1096056, 9.928, 67.0
1678232037.3102293, 10.004, 66.0
1678232037.510961, 10.004, 65.5
1678232037.7116225, 10.004, 65.25
1678232037.9122436, 10.004, 65.25
1678232038.1128886, 9.947, 65.75
1678232038.313499, 9.947, 66.5
1678232038.5141146, 9.947, 66.75
1678232038.7146835, 9.947, 65.5
1678232038.9153845, 9.947, 65.5
1678232039.1160462, 9.714, 65.25
1678232039.3166354, 9.714, 65.75
1678232039.5173163, 9.714, 66.25
1678232039.7179193, 9.714, 67.0
1678232039.918515, 9.714, 66.0
1678232040.1191802, 9.714, 65.5
1678232040.3198235, 9.878, 65.5
1678232040.5204742, 9.878, 65.5
1678232040.7211535, 9.878, 66.0
1678232040.9217894, 9.878, 67.25
1678232041.1224036, 9.882, 65.0
1678232041.3230546, 9.882, 65.75
1678232041.5237026, 9.882, 65.75
1678232041.7243288, 9.882, 65.75
1678232041.925022, 9.882, 65.75
1678232042.1256742, 9.882, 66.75
1678232042.32627, 9.855, 66.25
1678232042.5270395, 9.855, 65.5
1678232042.7276661, 9.855, 65.5
1678232042.9282742, 9.855, 65.75
1678232043.128909, 9.855, 65.75
1678232043.3295386, 9.561, 67.0
1678232043.530143, 9.561, 66.0
1678232043.7308989, 9.561, 65.75
1678232043.9315677, 9.561, 65.5
1678232044.1321795, 9.561, 65.5
1678232044.3327758, 9.702, 65.75
1678232044.5334313, 9.702, 66.75
1678232044.734056, 9.702, 65.75
1678232044.9347053, 9.702, 65.5
1678232045.1353648, 9.702, 65.5
1678232045.3359706, 9.744, 66.0
1678232045.5365565, 9.744, 66.0
1678232045.7372208, 9.744, 67.5
1678232045.9378388, 9.744, 66.75
1678232046.1384928, 9.744, 65.5
1678232046.3391573, 10.073, 65.75
1678232046.5397584, 10.073, 65.75
1678232046.740364, 10.073, 65.75
1678232046.940984, 10.073, 66.75
1678232047.1416302, 9.569, 67.0
1678232047.3422759, 9.569, 65.75
1678232047.542944, 9.569, 65.75
1678232047.743582, 9.569, 65.5
1678232047.9442298, 9.569, 65.75
1678232048.1448615, 9.977, 66.5
1678232048.3454576, 9.977, 66.75
1678232048.546067, 9.977, 65.5
1678232048.746823, 9.977, 65.5
1678232048.947441, 9.977, 65.5
1678232049.148088, 9.977, 65.75
1678232049.3488007, 9.867, 66.5
1678232049.5494416, 9.867, 67.0
1678232049.7500777, 9.867, 67.0
1678232049.9506693, 9.867, 66.0
1678232050.1513798, 10.019, 65.5
1678232050.3520207, 10.019, 65.5
1678232050.5526185, 10.019, 66.0
1678232050.7533062, 10.019, 66.25
1678232050.9539163, 10.019, 66.25
1678232051.1546288, 9.741, 65.75
1678232051.3553393, 9.741, 65.5
1678232051.5559468, 9.741, 65.75
1678232051.756536, 9.741, 65.75
1678232051.957211, 9.741, 66.5
1678232052.1578486, 9.851, 67.0
1678232052.358455, 9.851, 67.0
1678232052.5590956, 9.851, 65.5
1678232052.7597854, 9.851, 65.75
1678232052.9603863, 9.851, 65.5
1678232053.1610115, 9.821, 66.0
1678232053.3614995, 9.821, 67.75
1678232053.562123, 9.821, 66.0
1678232053.7628222, 9.821, 65.5
1678232053.9635773, 9.821, 65.5
1678232054.1642008, 10.0, 65.5
1678232054.3648913, 10.0, 65.75
1678232054.5655308, 10.0, 66.75
1678232054.7661731, 10.0, 66.5
1678232054.9666195, 10.0, 65.75
1678232055.1671977, 9.931, 65.5
1678232055.3677082, 9.931, 65.5
1678232055.5682032, 9.931, 66.0
1678232055.768731, 9.931, 66.75
1678232055.9693139, 9.931, 67.0
1678232056.1697912, 9.584, 65.75
1678232056.3703792, 9.584, 65.75
1678232056.5708706, 9.584, 65.75
1678232056.7713573, 9.584, 66.0
1678232056.971813, 9.584, 66.5
1678232057.172297, 9.653, 66.5
1678232057.3727496, 9.653, 65.5
1678232057.5734472, 9.653, 65.5
1678232057.7739472, 9.653, 65.75
1678232057.974461, 9.653, 66.0
1678232058.1749408, 9.607, 66.0
1678232058.3754709, 9.607, 67.0
1678232058.5759573, 9.607, 66.25
1678232058.7766774, 9.607, 65.5
1678232058.9773443, 9.607, 65.5
1678232059.1779377, 10.054, 65.5
1678232059.3785367, 10.054, 66.0
1678232059.5791595, 10.054, 66.25
1678232059.7798645, 10.054, 66.5
1678232059.980494, 10.054, 66.25
1678232060.181151, 9.649, 65.75
1678232060.3817775, 9.649, 65.75
1678232060.5824347, 9.649, 65.5
1678232060.7830834, 9.649, 66.25
1678232060.9836962, 9.649, 66.75
1678232061.1843357, 9.844, 67.0
1678232061.384986, 9.844, 66.0
1678232061.5854547, 9.844, 65.75
1678232061.7861698, 9.844, 65.75
1678232061.9867868, 9.844, 65.75
1678232062.1874352, 9.89, 65.75
1678232062.3880322, 9.89, 66.75
1678232062.5886614, 9.89, 67.25
1678232062.7893255, 9.89, 65.75
1678232062.9899728, 9.89, 65.75
1678232063.1905909, 9.985, 65.5
1678232063.3911886, 9.985, 65.75
1678232063.5917792, 9.985, 66.25
1678232063.7924263, 9.985, 67.0
1678232063.9930584, 9.985, 65.75
1678232064.193687, 9.607, 65.75
1678232064.394324, 9.607, 65.75
1678232064.5949583, 9.607, 65.75
1678232064.7955918, 9.607, 66.0
1678232064.996232, 9.607, 67.0
1678232065.1968899, 9.676, 66.0
1678232065.3975616, 9.676, 65.5
1678232065.5981953, 9.676, 65.75
1678232065.7988472, 9.676, 65.75
1678232065.9995017, 9.676, 67.5
1678232066.2001452, 9.702, 66.0
1678232066.400825, 9.702, 65.5
1678232066.6014588, 9.702, 65.75
1678232066.8021348, 9.702, 65.75
1678232067.002765, 9.702, 66.75
1678232067.2033923, 9.92, 67.25
1678232067.4040277, 9.92, 65.75
1678232067.6046987, 9.92, 65.5
1678232067.8054023, 9.92, 65.5
1678232068.0060313, 9.92, 65.75
1678232068.2066972, 9.821, 66.25
1678232068.4073977, 9.821, 67.5
1678232068.607987, 9.821, 66.75
1678232068.8085806, 9.821, 65.75
1678232069.0092947, 9.821, 65.75
1678232069.2099109, 9.981, 66.0
1678232069.4104924, 9.981, 66.25
1678232069.6111279, 9.981, 67.0
1678232069.8117132, 9.981, 65.5
1678232070.0123627, 9.981, 65.5
1678232070.212967, 9.714, 65.75
1678232070.4135756, 9.714, 66.0
1678232070.6141994, 9.714, 66.25
1678232070.814832, 9.714, 67.0
1678232071.0154057, 9.714, 65.75
1678232071.2160797, 9.714, 65.75
1678232071.4167378, 9.775, 65.75
1678232071.617378, 9.775, 66.0
1678232071.818023, 9.775, 65.75
1678232072.0186493, 9.775, 66.5
1678232072.2193065, 9.741, 67.0
1678232072.419955, 9.741, 65.5
1678232072.6206222, 9.741, 65.75
1678232072.82129, 9.741, 65.75
1678232073.0219088, 9.741, 66.75
1678232073.222565, 9.771, 67.25
1678232073.423122, 9.771, 65.5
1678232073.623715, 9.771, 65.75
1678232073.824326, 9.771, 65.75
1678232074.0249252, 9.771, 66.0
1678232074.2255821, 9.905, 67.0
1678232074.4262106, 9.905, 67.0
1678232074.6268055, 9.905, 65.75
1678232074.8275561, 9.905, 65.75
1678232075.0281796, 9.905, 65.75
1678232075.228792, 9.905, 65.75
1678232075.429437, 10.05, 66.75
1678232075.6300197, 10.05, 67.5
1678232075.830629, 10.05, 65.75
1678232076.0314014, 10.05, 65.75
1678232076.2320561, 9.584, 65.75
1678232076.4326525, 9.584, 66.25
1678232076.6333132, 9.584, 67.0
1678232076.8339505, 9.584, 66.25
1678232077.0345955, 9.584, 65.5
1678232077.2352326, 9.607, 65.75
1678232077.4358656, 9.607, 65.75
1678232077.636479, 9.607, 66.0
1678232077.8371305, 9.607, 67.25
1678232078.037746, 9.607, 66.25
1678232078.2384195, 9.634, 65.75
1678232078.439048, 9.634, 65.75
1678232078.6396878, 9.634, 65.75
1678232078.8403058, 9.634, 67.0
1678232079.0409253, 9.634, 66.5
1678232079.2415042, 9.817, 65.75
1678232079.44213, 9.817, 65.75
1678232079.6427138, 9.817, 65.75
1678232079.8433504, 9.817, 66.0
1678232080.043962, 9.817, 66.25
1678232080.244564, 9.947, 67.0
1678232080.4452488, 9.947, 66.5
1678232080.6459506, 9.947, 65.75
1678232080.8466074, 9.947, 65.75
1678232081.0472271, 9.947, 66.0
1678232081.247867, 9.691, 66.5
1678232081.4485052, 9.691, 66.0
1678232081.6492467, 9.691, 65.75
1678232081.8499107, 9.691, 65.75
1678232082.0505128, 9.691, 65.75
1678232082.2512069, 9.691, 66.0
1678232082.4518611, 9.691, 67.0
1678232082.6525118, 9.691, 65.25
1678232082.8532662, 9.691, 65.75
1678232083.053899, 9.691, 65.5
1678232083.2545521, 9.691, 65.75
1678232083.455199, 9.691, 66.5
1678232083.6558478, 9.691, 66.0
1678232083.856448, 9.416, 65.5
1678232084.0572004, 9.416, 65.5
1678232084.2578409, 10.115, 65.5
1678232084.4584353, 10.115, 66.0
1678232084.6590235, 10.115, 66.0
1678232084.8596797, 10.115, 66.75
1678232085.0602527, 9.92, 65.75
1678232085.2608917, 9.92, 65.75
1678232085.461586, 9.92, 66.0
1678232085.6622226, 9.92, 66.25
1678232085.8628335, 9.92, 66.25
1678232086.0634851, 9.92, 67.25
1678232086.2640853, 10.065, 67.0
1678232086.4647064, 10.065, 66.0
1678232086.6654174, 10.065, 65.75
1678232086.866073, 10.065, 66.0
1678232087.066706, 10.065, 66.0
1678232087.267324, 9.691, 66.75
1678232087.4679427, 9.691, 66.75
1678232087.668598, 9.691, 65.75
1678232087.8693886, 9.691, 65.75
1678232088.070062, 9.691, 66.0
1678232088.270671, 9.809, 66.0
1678232088.4713094, 9.809, 67.0
1678232088.6719441, 9.809, 66.75
1678232088.8726413, 9.809, 65.75
1678232089.0733566, 9.809, 65.75
1678232089.2739928, 9.863, 66.0
1678232089.4746308, 9.863, 66.5
