Time stamp,Power,avg_temp
1678298572.723653, 0.0, 47.774
1678298572.924257, 4.351, 48.85
1678298573.1248684, 4.351, 48.312
1678298573.3255367, 4.351, 48.312
1678298573.5261674, 4.351, 48.85
1678298573.7267854, 4.351, 48.312
1678298573.92732, 5.428, 49.388
1678298574.1279597, 5.428, 48.312
1678298574.3286567, 5.428, 49.388
1678298574.5291724, 5.428, 49.388
1678298574.7297943, 5.428, 49.388
1678298574.930494, 5.512, 49.388
1678298575.1311247, 5.512, 49.388
1678298575.3320243, 5.512, 49.388
1678298575.5326765, 5.512, 49.388
1678298575.7333481, 5.512, 49.388
1678298575.9340687, 5.37, 49.388
1678298576.1346955, 5.37, 49.388
1678298576.3352554, 5.37, 49.388
1678298576.536386, 5.37, 49.388
1678298576.7370732, 5.37, 49.388
1678298576.9377005, 5.466, 49.388
1678298577.1383052, 5.466, 49.926
1678298577.3389175, 5.466, 49.388
1678298577.5397613, 5.466, 49.388
1678298577.7403693, 5.466, 49.388
1678298577.9409738, 5.466, 48.312
1678298578.1415718, 5.466, 49.388
1678298578.3421652, 5.466, 49.388
1678298578.5427842, 5.466, 49.388
1678298578.7434082, 5.466, 49.388
1678298578.9440703, 5.466, 49.388
1678298579.1449006, 5.481, 49.388
1678298579.345589, 5.481, 49.388
1678298579.546326, 5.481, 49.388
1678298579.7468743, 5.401, 49.388
1678298579.947503, 5.401, 49.388
1678298580.1480565, 5.401, 49.388
1678298580.3487985, 5.401, 49.388
1678298580.5493872, 5.401, 49.388
1678298580.750372, 5.557, 49.388
1678298580.9509716, 5.557, 49.926
1678298581.1516702, 5.557, 49.388
1678298581.3522854, 5.557, 49.388
1678298581.552918, 5.557, 49.926
1678298581.7537096, 5.557, 49.388
1678298581.954359, 5.435, 49.388
1678298582.1549473, 5.435, 49.388
1678298582.3556776, 5.435, 49.926
1678298582.5563054, 5.435, 49.388
1678298582.7569416, 5.519, 49.388
1678298582.9575477, 5.519, 49.388
1678298583.1581342, 5.519, 49.388
1678298583.3588035, 5.519, 49.388
1678298583.5593944, 5.519, 49.926
1678298583.760146, 5.508, 49.926
1678298583.9608235, 5.508, 49.388
1678298584.1615489, 5.508, 49.926
1678298584.362205, 5.508, 49.388
1678298584.5628483, 5.508, 49.388
1678298584.76352, 5.489, 49.388
1678298584.9642243, 5.489, 49.926
1678298585.1651664, 5.489, 49.388
1678298585.3657842, 5.489, 49.388
1678298585.5664332, 5.489, 49.388
1678298585.7670395, 5.435, 49.388
1678298585.9676497, 5.435, 49.388
1678298586.1682818, 5.435, 49.926
1678298586.3689198, 5.435, 49.388
1678298586.5695708, 5.435, 49.388
1678298586.7701948, 5.435, 49.388
1678298586.9708562, 5.531, 49.388
1678298587.1714797, 5.531, 49.388
1678298587.3721178, 5.531, 49.926
1678298587.5727465, 5.531, 49.388
1678298587.7733102, 5.515, 49.926
1678298587.9740458, 5.515, 49.388
1678298588.1747065, 5.515, 49.926
1678298588.3754325, 5.515, 49.388
1678298588.5761251, 5.515, 49.388
1678298588.7768605, 5.534, 50.464
1678298588.9775076, 5.534, 49.388
1678298589.178175, 5.534, 49.926
1678298589.3788035, 5.534, 49.926
1678298589.5794425, 5.534, 49.388
1678298589.7801082, 5.508, 49.388
1678298589.9807382, 5.508, 49.388
1678298590.1815479, 5.508, 49.388
1678298590.382174, 5.508, 49.926
1678298590.5827925, 5.508, 49.388
1678298590.783427, 5.386, 49.926
1678298590.9841242, 5.386, 49.388
1678298591.1848116, 5.386, 49.388
1678298591.3854222, 5.386, 49.388
1678298591.5859697, 5.386, 49.926
1678298591.7865262, 5.55, 49.388
1678298591.9870832, 5.55, 49.388
1678298592.1876004, 5.55, 49.388
1678298592.3882337, 5.55, 49.388
1678298592.5890324, 5.55, 49.388
1678298592.789679, 5.462, 49.388
1678298592.990353, 5.462, 49.388
1678298593.1909988, 5.462, 49.388
1678298593.3916514, 5.462, 49.388
1678298593.5923102, 5.462, 49.388
1678298593.7929819, 5.519, 49.388
1678298593.9937027, 5.519, 49.926
1678298594.1943622, 5.519, 49.388
1678298594.395124, 5.519, 49.388
1678298594.5957866, 5.519, 49.388
1678298594.796439, 5.458, 49.388
1678298594.9970667, 5.458, 49.388
1678298595.1976526, 5.458, 49.388
1678298595.3983407, 5.458, 50.464
1678298595.5989711, 5.458, 49.388
1678298595.7996035, 5.542, 49.388
1678298596.0003033, 5.542, 49.926
1678298596.2009265, 5.542, 49.926
1678298596.4015317, 5.542, 49.926
1678298596.6021783, 5.542, 49.926
1678298596.8028958, 5.462, 50.464
1678298597.003621, 5.462, 49.926
1678298597.2042625, 5.462, 49.926
1678298597.4049006, 5.462, 49.926
1678298597.6056237, 5.462, 49.926
1678298597.8062646, 5.489, 49.926
1678298598.0073256, 5.489, 49.388
1678298598.2079866, 5.489, 49.388
1678298598.4085946, 5.489, 49.388
1678298598.6092443, 5.489, 49.926
1678298598.8101842, 5.557, 49.926
1678298599.0107415, 5.557, 49.388
1678298599.211618, 5.557, 49.926
1678298599.4121678, 5.557, 49.388
1678298599.6127608, 5.557, 49.388
1678298599.8133678, 5.473, 48.85
1678298600.0140042, 5.473, 49.388
1678298600.21462, 5.473, 49.388
1678298600.4152346, 5.473, 49.926
1678298600.6158767, 5.473, 49.388
1678298600.8165011, 5.55, 49.926
1678298601.0171332, 5.55, 49.926
1678298601.2177503, 5.55, 49.388
1678298601.4183805, 5.55, 49.388
1678298601.6190233, 5.55, 49.388
1678298601.819874, 5.466, 49.388
1678298602.0204709, 5.466, 49.926
1678298602.2211993, 5.466, 49.388
1678298602.4219146, 5.466, 49.926
1678298602.622535, 5.466, 49.388
1678298602.823155, 5.58, 49.388
1678298603.0236785, 5.58, 50.464
1678298603.224434, 5.58, 49.926
1678298603.4251537, 5.58, 49.926
1678298603.6258032, 5.58, 49.926
1678298603.8264887, 5.5, 49.388
1678298604.0271034, 5.5, 49.388
1678298604.2279525, 5.5, 49.388
1678298604.428792, 5.5, 49.388
1678298604.629561, 5.5, 49.926
1678298604.8302846, 5.481, 49.926
1678298605.030923, 5.481, 49.926
1678298605.2316844, 5.481, 49.388
1678298605.4323087, 5.481, 49.388
1678298605.6329334, 5.481, 49.926
1678298605.833604, 5.496, 49.388
1678298606.0341637, 5.496, 49.926
1678298606.235032, 5.496, 49.388
1678298606.4360826, 5.496, 49.926
1678298606.6367033, 5.496, 49.388
1678298606.837355, 5.477, 49.926
1678298607.0380719, 5.477, 49.388
1678298607.2389538, 5.477, 49.388
1678298607.439565, 5.477, 49.388
1678298607.6401458, 5.477, 49.388
1678298607.8407907, 5.443, 49.388
1678298608.0414894, 5.443, 49.926
1678298608.2421284, 5.443, 49.388
1678298608.442834, 5.443, 50.464
1678298608.643523, 5.443, 49.388
1678298608.8441849, 5.5, 49.926
1678298609.0448327, 5.5, 49.926
1678298609.245467, 5.5, 49.388
1678298609.446013, 5.5, 49.926
1678298609.6465032, 5.5, 49.388
1678298609.847038, 5.5, 49.926
1678298610.0475671, 5.47, 49.388
1678298610.2480958, 5.47, 49.388
1678298610.4486706, 5.47, 49.388
1678298610.6492846, 5.47, 49.388
1678298610.8500564, 5.439, 49.388
1678298611.050764, 5.439, 49.388
1678298611.2514281, 5.439, 49.388
1678298611.4522173, 5.439, 49.388
1678298611.652824, 5.439, 49.926
1678298611.8534954, 5.534, 49.388
1678298612.054232, 5.534, 49.926
1678298612.254923, 5.534, 49.388
1678298612.4555733, 5.534, 49.926
1678298612.6562335, 5.534, 49.388
1678298612.8568938, 5.508, 49.926
1678298613.0577433, 5.508, 49.388
1678298613.2583382, 5.508, 49.388
1678298613.4589112, 5.508, 49.926
1678298613.6594756, 5.508, 49.388
1678298613.860217, 5.5, 49.926
1678298614.0608315, 5.5, 49.926
1678298614.2614958, 5.5, 49.388
1678298614.4621065, 5.5, 49.926
1678298614.662718, 5.5, 49.926
1678298614.863384, 5.5, 49.926
1678298615.0641248, 5.565, 49.388
1678298615.2647371, 5.565, 49.926
1678298615.4653504, 5.565, 49.926
1678298615.6659544, 5.565, 49.926
1678298615.866564, 5.55, 50.464
1678298616.0671692, 5.55, 49.926
1678298616.2680225, 5.55, 49.926
1678298616.468908, 5.55, 49.926
1678298616.6695213, 5.55, 49.926
1678298616.8702123, 5.519, 49.388
1678298617.0708935, 5.519, 49.388
1678298617.271577, 5.519, 49.926
1678298617.4722016, 5.519, 49.388
1678298617.673052, 5.519, 49.388
1678298617.8736005, 5.477, 49.388
1678298618.0743275, 5.477, 49.388
1678298618.2748525, 5.477, 49.926
1678298618.475445, 5.477, 49.926
1678298618.6760101, 5.477, 49.926
1678298618.8766124, 5.447, 50.464
1678298619.0772223, 5.447, 49.388
1678298619.2778335, 5.447, 49.926
1678298619.4784544, 5.447, 49.388
1678298619.6790903, 5.447, 49.388
1678298619.879778, 5.504, 49.388
1678298620.0803623, 5.504, 49.388
1678298620.2810106, 5.504, 49.388
1678298620.4816287, 5.504, 49.926
1678298620.6822445, 5.504, 49.926
1678298620.8828487, 5.485, 49.926
1678298621.0835953, 5.485, 49.388
1678298621.2841744, 5.485, 49.388
1678298621.4849582, 5.485, 49.388
1678298621.6856763, 5.485, 49.388
1678298621.886556, 5.531, 49.388
1678298622.0871148, 5.531, 49.926
1678298622.2879388, 5.531, 49.388
1678298622.4884825, 5.531, 49.388
1678298622.689139, 5.531, 49.388
1678298622.8898964, 5.45, 50.464
1678298623.0906053, 5.45, 49.926
1678298623.2912266, 5.45, 50.464
1678298623.4920495, 5.45, 50.464
1678298623.6926308, 5.45, 49.926
1678298623.8932872, 5.424, 49.388
1678298624.093903, 5.424, 49.388
1678298624.294506, 5.424, 49.388
1678298624.495105, 5.424, 49.926
1678298624.6956825, 5.424, 49.388
1678298624.8962982, 5.496, 49.388
1678298625.0969183, 5.496, 49.926
1678298625.2975926, 5.496, 49.388
1678298625.498173, 5.496, 49.388
1678298625.6988509, 5.496, 49.926
1678298625.8993955, 5.458, 49.926
1678298626.100022, 5.458, 50.464
1678298626.3005567, 5.458, 49.926
1678298626.50136, 5.458, 49.926
1678298626.7019577, 5.458, 49.926
1678298626.902779, 5.538, 49.388
1678298627.103433, 5.538, 50.464
1678298627.3043394, 5.538, 50.464
1678298627.5049782, 5.538, 49.388
1678298627.7056184, 5.538, 49.388
1678298627.9062707, 5.428, 49.926
1678298628.1069696, 5.428, 49.926
1678298628.3076477, 5.428, 49.926
1678298628.5082521, 5.428, 50.464
1678298628.7089148, 5.428, 49.926
1678298628.9096475, 5.527, 49.926
1678298629.110334, 5.527, 49.926
1678298629.3108892, 5.527, 49.388
1678298629.5114214, 5.527, 49.388
1678298629.7121758, 5.527, 49.388
1678298629.9127665, 5.557, 49.388
1678298630.1133986, 5.557, 49.926
1678298630.314043, 5.557, 49.926
1678298630.514677, 5.557, 50.464
1678298630.7153845, 5.557, 49.388
1678298630.916078, 5.565, 49.926
1678298631.1168008, 5.565, 49.926
1678298631.317429, 5.565, 49.926
1678298631.5182443, 5.565, 49.388
1678298631.7188907, 5.565, 49.926
1678298631.9195454, 5.523, 49.926
1678298632.120164, 5.523, 49.926
1678298632.3208394, 5.523, 49.926
1678298632.521545, 5.523, 49.388
1678298632.7222693, 5.523, 49.388
1678298632.9228857, 5.473, 49.926
1678298633.1235788, 5.473, 49.388
1678298633.3241098, 5.473, 49.388
1678298633.524648, 5.473, 49.926
1678298633.725202, 5.473, 49.388
1678298633.9256861, 5.473, 49.388
1678298634.1262531, 5.473, 49.926
1678298634.3268921, 5.473, 49.388
1678298634.5275927, 5.473, 49.926
1678298634.7281945, 5.473, 49.926
1678298634.9288297, 5.477, 49.926
1678298635.1294503, 5.477, 49.388
1678298635.330152, 5.477, 49.388
1678298635.530744, 5.477, 49.388
1678298635.7318041, 5.477, 49.388
1678298635.9324594, 5.596, 49.926
1678298636.1331537, 5.596, 49.926
1678298636.3338497, 5.596, 49.926
1678298636.534537, 5.596, 49.388
1678298636.7351584, 5.596, 49.388
1678298636.9360702, 5.489, 49.388
1678298637.1366997, 5.489, 49.926
1678298637.3373775, 5.489, 49.388
1678298637.5379539, 5.489, 49.926
1678298637.7385585, 5.489, 49.388
1678298637.939128, 5.55, 49.388
1678298638.1396775, 5.55, 49.388
1678298638.3402076, 5.55, 49.388
1678298638.5410109, 5.55, 49.926
1678298638.7415674, 5.55, 49.926
1678298638.942164, 5.527, 49.388
1678298639.1427524, 5.527, 49.926
1678298639.343348, 5.527, 49.388
1678298639.5440474, 5.527, 49.926
1678298639.7446604, 5.496, 49.388
1678298639.9452832, 5.496, 49.926
1678298640.1459012, 5.496, 49.926
1678298640.346524, 5.496, 49.926
1678298640.5471454, 5.496, 49.926
1678298640.7478735, 5.496, 49.388
1678298640.9484634, 5.496, 49.926
1678298641.1491463, 5.496, 49.926
1678298641.3497596, 5.496, 49.388
1678298641.5505471, 5.496, 49.926
1678298641.7510998, 5.515, 48.85
1678298641.9519172, 5.515, 49.388
1678298642.1524606, 5.515, 50.464
1678298642.353204, 5.515, 49.926
1678298642.5538542, 5.515, 49.926
1678298642.7545674, 5.489, 49.388
1678298642.9552147, 5.489, 49.388
1678298643.1560783, 5.489, 49.926
1678298643.3567288, 5.489, 49.388
1678298643.557375, 5.489, 49.926
1678298643.758091, 5.481, 49.388
1678298643.958832, 5.481, 49.926
1678298644.159488, 5.481, 49.926
1678298644.3602388, 5.481, 49.926
1678298644.560863, 5.481, 49.926
1678298644.7614894, 5.481, 49.388
1678298644.9621162, 5.47, 49.926
1678298645.162678, 5.47, 49.388
1678298645.3632512, 5.47, 49.388
1678298645.5639436, 5.47, 49.388
1678298645.7646022, 5.47, 49.388
1678298645.9651468, 5.5, 49.388
1678298646.165696, 5.5, 49.926
1678298646.3662627, 5.5, 49.388
1678298646.5668387, 5.5, 49.388
1678298646.7674742, 5.5, 49.388
