Time stamp,Power,avg_temp
1680470160.7085571, 0.0, 38.628
1680470160.9091797, 0.0, 37.552
1680470161.109691, 0.0, 38.628
1680470161.3102183, 0.0, 38.09
1680470161.5107286, 0.0, 37.552
1680470161.7112372, 3.683, 38.628
1680470161.9117146, 3.683, 38.628
1680470162.112239, 3.683, 38.628
1680470162.3127432, 3.683, 38.09
1680470162.513365, 3.683, 37.552
1680470162.7138793, 3.58, 37.552
1680470162.9143896, 3.58, 38.628
1680470163.1149116, 3.58, 38.09
1680470163.3154206, 3.58, 38.09
1680470163.5161333, 3.58, 38.628
1680470163.7166443, 3.725, 37.552
1680470163.917154, 3.725, 38.628
1680470164.1177773, 3.725, 38.628
1680470164.318368, 3.725, 38.09
1680470164.5189955, 3.725, 38.09
1680470164.719667, 3.466, 37.552
1680470164.9204357, 3.466, 38.09
1680470165.1211643, 3.466, 37.014
1680470165.3218393, 3.466, 37.552
1680470165.5225053, 3.466, 38.09
1680470165.7230985, 3.389, 37.552
1680470165.923693, 3.389, 37.552
1680470166.1243365, 3.389, 37.552
1680470166.3249056, 3.389, 38.09
1680470166.5256126, 3.389, 37.552
1680470166.726254, 3.408, 37.014
1680470166.9269588, 3.408, 37.552
1680470167.127654, 3.408, 38.09
1680470167.328296, 3.408, 37.552
1680470167.528928, 3.408, 37.552
1680470167.7295675, 3.393, 37.552
1680470167.9301844, 3.393, 37.552
1680470168.1307788, 3.393, 38.09
1680470168.3314364, 3.393, 37.552
1680470168.532063, 3.393, 37.552
1680470168.7327225, 3.416, 37.552
1680470168.9334817, 3.416, 38.09
1680470169.1341505, 3.416, 37.552
1680470169.3348916, 3.416, 37.014
1680470169.5356371, 3.416, 37.552
1680470169.7362921, 3.405, 37.552
1680470169.936918, 3.405, 37.552
1680470170.1375864, 3.405, 37.552
1680470170.3381999, 3.405, 37.552
1680470170.538832, 3.405, 37.552
1680470170.7394245, 3.42, 37.552
1680470170.9399846, 3.42, 38.628
1680470171.1406348, 3.42, 38.628
1680470171.3425102, 3.42, 38.628
1680470171.5431032, 3.42, 39.166
1680470171.7436466, 6.397, 40.242
1680470171.9443603, 6.397, 40.78
1680470172.1449425, 6.397, 40.78
1680470172.3456125, 6.397, 40.78
1680470172.5462058, 6.397, 41.856
1680470172.7467523, 6.409, 41.318
1680470172.9476478, 6.409, 41.856
1680470173.1482687, 6.409, 41.856
1680470173.3488464, 6.409, 42.932
1680470173.549457, 6.409, 42.932
1680470173.75016, 6.393, 42.932
1680470173.9507723, 6.393, 43.47
1680470174.1514175, 6.393, 43.47
1680470174.3520093, 6.393, 43.47
1680470174.5525944, 6.393, 42.932
1680470174.75313, 6.37, 44.008
1680470174.9535613, 6.37, 43.47
1680470175.1541693, 6.37, 43.47
1680470175.354804, 6.37, 44.008
1680470175.5553765, 6.37, 44.008
1680470175.7559335, 6.344, 44.008
1680470175.9565046, 6.344, 44.008
1680470176.157139, 6.344, 45.084
1680470176.3576472, 6.344, 44.546
1680470176.5582063, 6.344, 44.546
1680470176.7588127, 6.344, 45.084
1680470176.9593506, 6.389, 45.084
1680470177.1598592, 6.389, 45.084
1680470177.3604147, 6.389, 45.084
1680470177.5611582, 6.389, 45.084
1680470177.761653, 6.386, 45.084
1680470177.9626002, 6.386, 45.622
1680470178.1631458, 6.386, 45.084
1680470178.3637154, 6.386, 45.622
1680470178.5643024, 6.386, 45.084
1680470178.7649205, 6.412, 46.16
1680470178.9656086, 6.412, 45.622
1680470179.1662164, 6.412, 45.622
1680470179.3667805, 6.412, 46.16
1680470179.5673664, 6.412, 46.16
1680470179.768053, 6.405, 46.16
1680470179.9686236, 6.405, 45.622
1680470180.1693923, 6.405, 46.16
1680470180.3699691, 6.405, 46.698
1680470180.5704935, 6.405, 46.16
1680470180.7710664, 6.389, 46.16
1680470180.9716465, 6.389, 46.16
1680470181.172234, 6.389, 46.16
1680470181.3734648, 6.389, 46.16
1680470181.5740664, 6.389, 46.698
1680470181.7746797, 6.305, 46.16
1680470181.9752886, 6.305, 47.236
1680470182.1758602, 6.305, 46.16
1680470182.3764236, 6.305, 47.236
1680470182.5769486, 6.305, 46.698
1680470182.777577, 6.397, 46.16
1680470182.9781878, 6.397, 46.16
1680470183.1787143, 6.397, 46.698
1680470183.3792698, 6.397, 47.236
1680470183.5798512, 6.397, 46.16
1680470183.7804832, 6.393, 47.236
1680470183.9810774, 6.393, 47.774
1680470184.1816018, 6.393, 47.774
1680470184.3822, 6.393, 47.236
1680470184.582805, 6.393, 47.236
1680470184.7834475, 6.397, 47.236
