Time stamp,Power,avg_temp
1681118933.8864336, 0.0, 38.628
1681118934.0869665, 0.0, 38.628
1681118934.287468, 0.0, 37.552
1681118934.487979, 0.0, 38.628
1681118934.6885347, 0.0, 38.628
1681118934.8890448, 3.775, 38.628
1681118935.089548, 3.775, 38.628
1681118935.2900953, 3.775, 38.628
1681118935.490603, 3.775, 38.628
1681118935.6910975, 3.775, 38.628
1681118935.8916278, 3.687, 38.628
1681118936.0921314, 3.687, 38.628
1681118936.2926812, 3.687, 38.628
1681118936.4932225, 3.687, 38.628
1681118936.69372, 3.687, 38.628
1681118936.8942394, 3.668, 38.09
1681118937.0947642, 3.668, 38.628
1681118937.2953486, 3.668, 37.552
1681118937.4959702, 3.668, 38.628
1681118937.696598, 3.668, 38.628
1681118937.8971236, 3.447, 38.09
1681118938.0976336, 3.447, 38.628
1681118938.2982118, 3.447, 38.628
1681118938.498714, 3.447, 38.628
1681118938.6992586, 3.447, 38.628
1681118938.899812, 3.672, 37.552
1681118939.100328, 3.672, 37.552
1681118939.3008373, 3.672, 38.628
1681118939.5013697, 3.672, 38.628
1681118939.7019053, 3.672, 38.09
1681118939.9024117, 3.664, 38.09
1681118940.10294, 3.664, 37.552
1681118940.3034465, 3.664, 38.628
1681118940.503959, 3.664, 38.628
1681118940.7044683, 3.664, 38.09
1681118940.9049761, 3.664, 37.552
1681118941.1054916, 3.71, 38.628
1681118941.3060691, 3.71, 38.628
1681118941.5065746, 3.71, 38.628
1681118941.7070792, 3.71, 38.628
1681118941.9076076, 3.615, 38.09
1681118942.1081889, 3.615, 38.09
1681118942.3087437, 3.615, 38.628
1681118942.5093014, 3.615, 38.628
1681118942.7098575, 3.615, 38.09
1681118942.9104679, 3.672, 37.552
1681118943.1110966, 3.672, 38.09
1681118943.3117294, 3.672, 38.628
1681118943.5123527, 3.672, 37.552
1681118943.7130432, 3.672, 38.09
1681118943.914014, 3.527, 38.09
1681118944.11454, 3.527, 39.166
1681118944.3150327, 3.527, 39.166
1681118944.515583, 3.527, 39.704
1681118944.7163095, 3.527, 40.78
1681118944.9168723, 6.386, 40.78
1681118945.1178446, 6.386, 40.242
1681118945.3184159, 6.386, 40.78
1681118945.5189657, 6.386, 40.78
1681118945.719475, 6.386, 40.78
1681118945.9199922, 4.729, 40.78
1681118946.1205676, 4.729, 40.78
1681118946.3211243, 4.729, 40.78
1681118946.5215452, 4.729, 41.856
1681118946.7221293, 4.729, 40.78
1681118946.922749, 6.374, 41.856
1681118947.123493, 6.374, 42.394
1681118947.3241544, 6.374, 42.394
1681118947.524783, 6.374, 41.856
1681118947.7256546, 6.374, 42.932
1681118947.9263341, 6.401, 42.932
1681118948.12687, 6.401, 42.932
