Time stamp,Power,avg_temp
1681113896.4202418, 0.0, 37.014
1681113896.620745, 0.0, 37.552
1681113896.8212872, 0.0, 37.552
1681113897.021815, 3.637, 37.552
1681113897.2223678, 3.637, 37.552
1681113897.4228818, 3.637, 37.552
1681113897.6233923, 3.637, 37.552
1681113897.823911, 3.683, 38.09
1681113898.024406, 3.683, 37.552
1681113898.224921, 3.683, 37.552
1681113898.4254534, 3.683, 37.552
1681113898.625984, 3.683, 37.552
1681113898.8264866, 3.66, 38.628
1681113899.0269964, 3.66, 37.014
1681113899.227505, 3.66, 37.552
1681113899.4280293, 3.66, 37.552
1681113899.6285565, 3.66, 37.552
1681113899.8290749, 3.611, 37.552
1681113900.0295887, 3.611, 37.552
1681113900.2302637, 3.611, 37.552
1681113900.430938, 3.611, 37.014
1681113900.631601, 3.611, 37.552
1681113900.8322742, 3.393, 37.552
1681113901.0329099, 3.393, 37.552
1681113901.2336242, 3.393, 37.552
1681113901.4342568, 3.393, 37.014
1681113901.6349306, 3.393, 37.552
1681113901.8355775, 3.393, 37.552
1681113902.0361488, 3.386, 37.552
1681113902.2367785, 3.386, 37.014
1681113902.437476, 3.386, 37.552
1681113902.638115, 3.386, 37.014
1681113902.8387392, 3.37, 37.014
1681113903.039442, 3.37, 37.014
1681113903.240038, 3.37, 36.476
1681113903.440698, 3.37, 37.552
1681113903.6413908, 3.37, 36.476
1681113903.8420365, 3.37, 37.552
1681113904.042661, 3.37, 37.014
1681113904.2433448, 3.37, 36.476
1681113904.443984, 3.37, 37.014
1681113904.6446083, 3.37, 37.552
1681113904.8452826, 3.37, 36.476
1681113905.0459104, 3.363, 37.552
1681113905.2465966, 3.363, 37.014
1681113905.4471893, 3.363, 37.014
1681113905.6479175, 3.363, 36.476
1681113905.8485465, 3.363, 36.476
1681113906.049162, 3.42, 37.552
1681113906.2497907, 3.42, 36.476
1681113906.4504993, 3.42, 37.014
1681113906.6513367, 3.42, 37.552
1681113906.8521063, 6.611, 38.09
1681113907.0526292, 6.611, 38.628
1681113907.253529, 6.611, 39.166
1681113907.454134, 6.611, 39.704
1681113907.6546159, 6.611, 39.704
1681113907.855204, 6.733, 39.704
1681113908.055764, 6.733, 40.78
