Time stamp,Power,avg_temp
1681115305.288228, 0.0, 37.552
1681115305.4887424, 0.0, 37.552
1681115305.6892934, 0.0, 38.09
1681115305.8898594, 3.679, 38.09
1681115306.0903866, 3.679, 37.552
1681115306.290932, 3.679, 37.552
1681115306.491451, 3.679, 37.552
1681115306.6919565, 3.679, 37.552
1681115306.892488, 3.588, 37.552
1681115307.0930037, 3.588, 37.552
1681115307.293506, 3.588, 37.552
1681115307.4940016, 3.588, 37.552
1681115307.69452, 3.588, 37.552
1681115307.8950267, 3.599, 37.552
1681115308.0955396, 3.599, 38.09
1681115308.2960553, 3.599, 37.552
1681115308.4966016, 3.599, 37.552
1681115308.6971178, 3.599, 37.552
1681115308.8976266, 3.592, 37.552
1681115309.0982447, 3.592, 37.552
1681115309.2991052, 3.592, 37.014
1681115309.4997857, 3.592, 37.552
1681115309.7004704, 3.592, 37.014
1681115309.9011056, 3.428, 37.552
1681115310.1016557, 3.428, 37.552
1681115310.3023248, 3.428, 37.552
1681115310.5029514, 3.428, 37.014
1681115310.703626, 3.428, 37.552
1681115310.9043527, 3.435, 37.552
1681115311.104997, 3.435, 37.552
1681115311.3057175, 3.435, 36.476
1681115311.5063384, 3.435, 37.014
1681115311.7069576, 3.435, 37.552
1681115311.907613, 3.405, 37.014
1681115312.1083, 3.405, 37.014
1681115312.309017, 3.405, 37.552
1681115312.5098712, 3.405, 37.014
1681115312.7107248, 3.405, 37.014
1681115312.9114149, 3.412, 37.014
1681115313.1121004, 3.412, 37.014
1681115313.3127425, 3.412, 37.014
1681115313.5134606, 3.412, 36.476
1681115313.7141578, 3.412, 37.552
1681115313.914795, 3.408, 37.552
1681115314.1157863, 3.408, 37.552
1681115314.3164804, 3.408, 37.552
1681115314.5170567, 3.408, 37.014
1681115314.717715, 3.408, 37.014
1681115314.918513, 3.382, 37.552
1681115315.1191928, 3.382, 37.014
1681115315.3198335, 3.382, 37.014
1681115315.520406, 3.382, 37.014
1681115315.7209373, 3.382, 38.628
1681115315.9216292, 6.847, 38.628
1681115316.1223307, 6.847, 39.166
1681115316.3229158, 6.847, 39.704
1681115316.5235274, 6.847, 40.242
1681115316.724022, 6.847, 40.78
1681115316.9245837, 6.664, 40.78
1681115317.1250691, 6.664, 40.78
1681115317.325614, 6.664, 41.318
1681115317.528528, 6.664, 42.394
1681115317.729047, 6.664, 41.856
1681115317.929525, 6.809, 42.932
1681115318.130097, 6.809, 42.932
1681115318.3307753, 6.809, 43.47
1681115318.5314102, 6.809, 43.47
1681115318.731931, 6.809, 42.932
1681115318.93254, 6.809, 43.47
1681115319.133138, 6.859, 44.008
1681115319.3336117, 6.859, 44.008
1681115319.5341997, 6.859, 44.546
1681115319.7347019, 6.859, 44.546
1681115319.9352388, 6.901, 44.008
1681115320.1357806, 6.901, 44.008
1681115320.3363633, 6.901, 45.084
1681115320.5369556, 6.901, 45.084
1681115320.7374818, 6.901, 45.084
1681115320.938021, 6.851, 45.084
1681115321.1387167, 6.851, 45.084
1681115321.3394547, 6.851, 45.622
1681115321.54003, 6.851, 46.16
1681115321.7408237, 6.851, 46.16
1681115321.9415016, 6.844, 45.084
1681115322.142099, 6.844, 45.622
1681115322.3426862, 6.844, 45.622
1681115322.5433087, 6.844, 46.16
1681115322.74382, 6.844, 46.16
1681115322.9443638, 6.851, 46.16
1681115323.144921, 6.851, 46.16
1681115323.3455157, 6.851, 46.16
1681115323.5461473, 6.851, 47.236
1681115323.7466552, 6.851, 46.16
1681115323.9473531, 6.935, 46.698
1681115324.147853, 6.935, 47.236
1681115324.3484437, 6.935, 46.16
1681115324.5489583, 6.935, 46.698
1681115324.7495608, 6.935, 46.698
1681115324.9501455, 6.939, 46.698
1681115325.1507192, 6.939, 47.774
1681115325.3513088, 6.939, 47.236
1681115325.5519204, 6.939, 47.236
1681115325.7533329, 6.939, 47.236
1681115325.9538636, 6.882, 47.774
1681115326.154391, 6.882, 47.236
1681115326.355052, 6.882, 47.774
1681115326.5555458, 6.882, 47.774
1681115326.756173, 6.882, 47.236
1681115326.9568334, 6.882, 47.236
1681115327.1574502, 6.882, 47.236
1681115327.3580754, 6.882, 47.774
1681115327.5586853, 6.882, 47.774
1681115327.7591982, 6.882, 47.774
1681115327.9598162, 6.878, 47.774
1681115328.1603193, 6.878, 47.774
1681115328.3608887, 6.878, 48.312
1681115328.5615523, 6.878, 47.774
1681115328.7621253, 6.878, 48.312
1681115328.9626713, 6.989, 48.312
1681115329.1632485, 6.989, 48.312
1681115329.363837, 6.989, 47.774
1681115329.5643566, 6.989, 48.312
1681115329.764915, 6.989, 48.312
1681115329.965565, 6.943, 48.312
1681115330.1661522, 6.943, 48.312
1681115330.3667264, 6.943, 48.312
1681115330.5672798, 6.943, 48.85
1681115330.767868, 6.943, 48.312
1681115330.9687347, 6.912, 48.85
1681115331.1693914, 6.912, 49.388
1681115331.3700614, 6.912, 48.312
1681115331.5706336, 6.912, 48.312
1681115331.7711644, 6.912, 49.388
1681115331.9717205, 6.905, 48.85
1681115332.1722975, 6.905, 49.388
1681115332.3728125, 6.905, 48.85
1681115332.573508, 6.905, 49.388
1681115332.7740862, 6.905, 48.85
1681115332.9747562, 6.863, 49.388
1681115333.1753402, 6.863, 49.388
1681115333.3758345, 6.863, 48.312
1681115333.576344, 6.863, 49.388
1681115333.7768598, 6.863, 48.312
1681115333.977663, 6.882, 49.388
1681115334.1783097, 6.882, 49.388
1681115334.3788629, 6.882, 49.388
1681115334.5794506, 6.882, 49.388
1681115334.779995, 6.882, 49.388
1681115334.9805098, 6.931, 49.926
1681115335.181057, 6.931, 49.388
1681115335.3816118, 6.931, 49.388
1681115335.582238, 6.931, 49.388
1681115335.7828894, 6.931, 49.388
1681115335.9834197, 6.905, 49.388
1681115336.184003, 6.905, 49.388
1681115336.384577, 6.905, 49.388
1681115336.5851352, 6.905, 49.388
1681115336.7858002, 6.905, 49.388
1681115336.9864097, 6.763, 49.926
1681115337.187007, 6.763, 49.388
1681115337.3875813, 6.763, 49.926
1681115337.5881379, 6.763, 49.388
1681115337.7886615, 6.763, 49.388
1681115337.989411, 6.935, 49.926
1681115338.1899514, 6.935, 49.926
1681115338.3905158, 6.935, 50.464
1681115338.5910928, 6.935, 49.388
1681115338.7917569, 6.935, 49.388
1681115338.9923775, 6.993, 50.464
1681115339.192974, 6.993, 49.388
1681115339.3936217, 6.993, 49.388
1681115339.5942214, 6.993, 50.464
1681115339.7948258, 6.993, 49.926
1681115339.9953785, 6.867, 50.464
1681115340.1958983, 6.867, 49.926
1681115340.3965287, 6.867, 49.926
1681115340.597063, 6.867, 49.926
1681115340.7975492, 6.867, 49.926
1681115340.998151, 6.92, 49.926
1681115341.1987498, 6.92, 50.464
1681115341.39933, 6.92, 50.464
1681115341.5999122, 6.92, 49.926
1681115341.8005352, 6.92, 49.926
1681115342.001126, 6.744, 50.464
1681115342.2016263, 6.744, 50.464
1681115342.4022348, 6.744, 50.464
1681115342.6028926, 6.744, 50.464
1681115342.8034348, 6.744, 49.388
1681115343.0040116, 6.909, 50.464
1681115343.2045722, 6.909, 50.464
1681115343.4050891, 6.909, 50.464
1681115343.6058176, 6.909, 50.464
1681115343.806447, 6.909, 50.464
1681115344.0070577, 6.882, 50.464
1681115344.2076216, 6.882, 50.464
1681115344.4082127, 6.882, 50.464
1681115344.6087482, 6.882, 50.464
1681115344.8093994, 6.882, 50.464
1681115345.0099943, 6.882, 50.464
1681115345.2105606, 6.916, 50.464
1681115345.4114218, 6.916, 51.002
1681115345.612036, 6.916, 51.002
1681115345.8125849, 6.916, 50.464
1681115346.0137508, 6.966, 51.002
1681115346.2143607, 6.966, 50.464
1681115346.4150763, 6.966, 51.002
1681115346.615748, 6.966, 51.002
1681115346.816357, 6.966, 50.464
