Epoch,Train acc,Train loss,Test acc,Test loss
0,37.616,1.6777794790999663,48.38,1.4049861400942258
1,53.922,1.2666222015610131,56.39,1.2181211453449876
2,62.916,1.0436318400875686,62.54,1.0625930526588536
3,69.032,0.8799739659899641,65.68,0.992491520658324
4,73.676,0.7500792977297702,66.32,1.0006484826908837
5,77.546,0.6451256489357375,68.82,0.9159188089491446
6,80.94,0.5454726634580461,68.31,0.970738705200485
7,83.198,0.47744086735388813,70.1,0.924624385713022
8,85.568,0.4109873663052878,70.75,0.9253772791427902
9,87.632,0.3538671619523212,71.04,0.9572799454761457
10,89.444,0.30126426948229673,72.46,0.9509519523457636
11,90.746,0.262397473863781,72.2,0.9769137622434881
12,92.136,0.22775538416241137,72.41,1.010558238512353
13,92.93,0.2015596333119418,72.58,1.0344186304490777
14,93.694,0.17887294571608534,72.58,1.048059638542465
15,94.276,0.16353679310216013,72.65,1.0920966923991335
16,94.458,0.15401213916252032,73.49,1.0850836517690103
17,95.278,0.1381695444893349,73.81,1.0594745942308932
18,95.658,0.12467506366884312,73.42,1.1378386292276503
19,95.684,0.12086424089091666,73.7,1.1098486351061472
20,96.084,0.11409573010681077,73.45,1.172126610445071
21,96.02,0.11277657754652565,74.1,1.1586549334888216
22,96.414,0.10392120078234646,75.04,1.1370131426219698
23,96.45,0.10073853407979316,74.6,1.1105640500406675
24,96.632,0.09726291819168326,74.21,1.1697969949698146
25,96.728,0.0923322788415872,75.18,1.203320574911335
26,96.778,0.09122724092239157,74.89,1.1073039939886407
27,97.19,0.08190536733878695,74.65,1.2322485650642008
28,97.194,0.080785316369875,75.24,1.1892381763156457
29,97.386,0.07661612853741326,74.91,1.201610501053967
30,97.334,0.07645480178506173,75.36,1.135404032242449
31,97.474,0.07484324545482807,75.12,1.1422133996516843
32,97.638,0.06850000573179263,75.05,1.2362682087511956
33,97.646,0.06889094694224579,75.17,1.209851877598823
34,97.77,0.06564635588951848,74.71,1.2562947952294652
35,97.67,0.06765496051963181,75.6,1.20283327600624
36,97.894,0.06056726627382914,75.06,1.2775023647501498
37,97.97,0.0597156103095397,75.82,1.2218317148051685
38,98.072,0.05613801385278402,75.61,1.2671359996252423
39,98.11,0.056424600160335334,75.57,1.2636678792253326
40,98.024,0.05666294471715646,75.36,1.3077354989474332
41,98.116,0.05534105090295796,75.26,1.2487191588063784
42,98.204,0.05347714663895271,75.75,1.1932187276550485
43,98.31,0.04999389363300351,76.39,1.2177723404727405
44,98.256,0.051858301815169545,75.83,1.2491991406754603
45,98.334,0.04806608715168465,75.82,1.2800992636740962
46,98.344,0.04752328800742545,76.05,1.2852975437535514
47,98.264,0.049423903983700876,75.83,1.2269033518961714
48,98.456,0.04393763380075145,76.31,1.1971804831601396
49,98.516,0.04215815570562735,76.39,1.2385470142847375
50,98.566,0.043141175186514016,75.85,1.3270361000978494
51,98.472,0.045097604077464194,76.35,1.2640170892582665
52,98.556,0.04140757368829892,76.1,1.2360824982199488
53,98.516,0.04212146515891318,75.9,1.262498749962336
54,98.578,0.04072317890787159,76.39,1.2592268191938158
55,98.694,0.03823924367196972,76.35,1.3100546870050551
56,98.696,0.03831138269966254,76.07,1.3550267166729215
57,98.644,0.039598522670305024,76.08,1.3042246933224835
58,98.876,0.03400658653534549,76.0,1.3514937773535523
59,98.686,0.038847905829610764,76.29,1.2634317354310918
60,98.732,0.03798217359927895,76.67,1.225967669034306
61,98.864,0.03354432502710272,76.69,1.2859818671323076
62,98.7,0.03670637330809689,76.65,1.3167956026294563
63,98.834,0.03466195098625834,76.92,1.2679100957097886
64,98.886,0.03150543910177315,76.81,1.325768531123294
65,98.908,0.033041108887918925,76.99,1.2693840989583656
66,98.864,0.03306440637021771,77.15,1.243379979193965
67,98.922,0.03137354167443855,77.06,1.223711302763299
68,98.82,0.03485385582322621,76.81,1.306502335056474
69,98.994,0.028880617623884337,77.19,1.3387762602371505
70,99.052,0.028949171137374344,76.8,1.3072554152223128
71,98.986,0.030563108103178308,77.07,1.2730703225618676
72,99.062,0.027981314690672863,76.59,1.355863077731072
73,99.0,0.028686114226032018,76.72,1.342854899696157
74,99.024,0.030471984492203986,77.22,1.3077694675590419
75,99.034,0.028465222429467456,77.09,1.311567381967472
76,99.142,0.025446366729385092,77.0,1.3654485209078728
77,98.942,0.031186942327166182,76.99,1.2803392500817021
78,99.044,0.02747993484077513,77.2,1.274791817876357
79,99.312,0.020409199508928867,76.96,1.3959015132505683
80,98.976,0.029584062795149985,76.73,1.3117727901362166
81,99.096,0.027353901292204552,76.42,1.3214504092554502
82,99.114,0.025599263178820594,77.36,1.3658072805102868
83,99.124,0.026244651396845793,76.78,1.3343733141693888
84,99.162,0.024506854627321918,77.64,1.3064889485322977
85,99.196,0.02400470012709584,77.33,1.325961384592177
86,99.17,0.023984645802826596,77.37,1.3125288648695885
87,99.172,0.02464350289382312,77.82,1.2774065106729917
88,99.172,0.023938423753722005,77.26,1.2477605056159105
89,99.07,0.026532575013794843,77.68,1.3045664708825606
90,99.28,0.02097660175289737,77.23,1.3724205154406874
91,99.056,0.026443195984224833,77.53,1.3071169551414779
92,99.408,0.018126473548840564,77.55,1.3451230148725872
93,99.204,0.02439559642535151,77.8,1.278187844572188
94,99.276,0.020272480049099095,77.74,1.3206832884233208
95,99.316,0.020258355547216677,77.78,1.3426403689988051
96,99.202,0.0227458063927491,77.5,1.338173785541631
97,99.214,0.021905961489189378,78.14,1.3146473018428948
98,99.296,0.02066644007654782,77.53,1.321910849854916
99,99.338,0.01948726705974861,78.11,1.3739942983735967
