Epoch,Train acc,Train loss,Test acc,Test loss
0,51.634,1.356003396651324,60.54,1.1168650607519512
1,64.688,0.9952786252321795,66.31,0.9575408350063276
2,68.994,0.8786110608169185,68.93,0.8771608811390551
3,71.616,0.8106555287795298,70.27,0.863821380500552
4,73.522,0.7565133525130084,70.87,0.8317647576332092
5,74.932,0.7183686808094649,72.23,0.8005285097073905
6,75.936,0.6901304422284636,72.21,0.794382947155192
7,76.768,0.6627222114359327,73.0,0.7876763864408566
8,77.454,0.6446084668264365,72.87,0.7776503170592876
9,78.292,0.6236219868025816,73.32,0.7877175091188166
10,78.584,0.6059769431648352,73.65,0.7684832728361781
11,79.142,0.5928529574895454,73.72,0.7696545569202567
12,79.606,0.5785965420248563,73.97,0.7656597932682762
13,79.952,0.5655319121335168,73.3,0.7861305588408362
14,80.382,0.5558973591955726,74.17,0.7614176009274736
15,80.796,0.5422957492301531,74.21,0.7828714953193182
16,81.304,0.5349751316830326,74.01,0.7939186496070668
17,81.466,0.5296689255920517,73.73,0.7977442869657203
18,81.762,0.5203754917130141,73.7,0.7935255539568165
19,82.11,0.5105920304422793,74.1,0.7853065223633489
20,82.47,0.5017051160183099,74.13,0.7889527935016004
21,82.484,0.49794227441253563,74.19,0.800946991654891
22,82.54,0.4922934278960118,74.24,0.7990084365953373
23,82.894,0.48501144742112023,74.05,0.8018513668941546
24,83.27,0.4764768036125261,74.01,0.8003160757354543
25,83.25,0.47331642609118196,74.2,0.8116936246051064
26,83.65,0.466849874733659,74.65,0.8142242997507506
27,83.646,0.4606441199169744,74.44,0.8183789570120317
28,83.708,0.4578043435083326,73.81,0.8293148950685428
29,84.204,0.4528346833822977,74.04,0.8334747054908849
30,83.948,0.4478098603389452,74.29,0.8171567599984664
31,84.258,0.4434978277482035,74.48,0.833801394776453
32,84.348,0.4414519055953721,74.15,0.8453736795654779
33,84.634,0.4342157430660999,73.75,0.865779394590402
34,84.834,0.43306703495857357,73.92,0.8480398036256621
35,84.8,0.42866781365383616,74.33,0.8500353588333612
36,84.91,0.42532454720695917,74.1,0.8402634693097465
37,85.112,0.41918451904945664,73.95,0.8742956964275505
38,85.148,0.41999206106985926,73.99,0.8589494205728362
39,85.044,0.4186732751481673,73.97,0.8520092673694031
40,85.4,0.41150781314086426,73.85,0.8753533959388733
41,85.456,0.40971087723436866,74.18,0.8633691630785978
42,85.52,0.40576341039384417,73.64,0.896001610574843
43,85.73,0.4019950143897625,73.74,0.8960521455052533
44,85.782,0.40180421733033017,73.64,0.9042013932632494
45,85.868,0.3970580834638127,73.8,0.8880407334883001
46,85.88,0.3943360399864519,73.9,0.8990035713473453
47,86.106,0.39261628912233026,74.26,0.9028010760681539
48,86.014,0.38996713168328373,73.31,0.8961605214619939
49,86.132,0.38772181175706333,73.79,0.9029709311980235
