Epoch,Train acc,Train loss,Test acc,Test loss
0,37.836,1.7039065888470701,46.56,1.4735998171794265
1,49.774,1.3853288916370752,51.8,1.3295015700255768
2,55.348,1.2448341206211568,55.24,1.2218867781796032
3,58.696,1.1587797586265427,58.84,1.140778141685679
4,61.058,1.0970804250758628,60.76,1.0977002080482772
5,62.778,1.0492504652198928,62.31,1.0574062821231311
6,64.048,1.0145524109111113,62.69,1.0472664599177204
7,64.948,0.9856139122677581,64.98,0.9971001714090758
8,66.016,0.9608602529901373,64.97,0.9984531364863432
9,66.658,0.9418662294097568,65.9,0.9669680120069769
10,67.22,0.9270225395936795,65.93,0.9711091442953182
11,67.748,0.9144556312000051,66.61,0.9541602149794374
12,67.92,0.9004243162586866,67.31,0.9422764212270326
13,68.438,0.8879903184483423,66.15,0.9601564588426035
14,68.818,0.8802051608214903,67.65,0.9237608826613124
15,69.158,0.8685238445201493,67.61,0.9260676141026654
16,69.798,0.8591813460335402,67.19,0.9307320419746109
17,70.118,0.8518836391551415,68.36,0.8994945717763297
18,70.19,0.8455339118342875,68.65,0.8977614445022389
19,70.416,0.8407744118929519,67.94,0.9080498852307284
20,70.508,0.8344495337637489,68.6,0.8898388479329362
21,70.728,0.8273201433898848,68.41,0.8951810990707784
22,70.924,0.8225456666763481,68.62,0.8965158915217919
23,71.276,0.814844116530455,69.56,0.8839772109743915
24,71.314,0.813374750601971,68.47,0.8915428089190133
25,71.5,0.8101011635092519,68.9,0.9013034271288521
26,71.85,0.8022437254181298,68.75,0.8953509240210811
27,72.026,0.7982705671464085,68.63,0.8882026876075358
28,71.972,0.7954345683917365,69.78,0.8666179874275304
29,72.066,0.7939136598421179,68.63,0.8909548936010916
30,72.39,0.7883594049822034,69.46,0.8705494992340668
31,72.294,0.7859597337215453,69.87,0.8626304683806021
32,72.416,0.7830207151220278,69.53,0.8742994311489637
33,72.57,0.7803199506171828,69.72,0.8537417838845072
34,72.73,0.7758072346372678,68.67,0.905867329881161
35,72.788,0.7731460086677385,70.16,0.8621762440174441
36,72.71,0.7712256777317018,69.87,0.8603040108197852
37,73.114,0.7677379305405385,69.78,0.870736751375319
38,73.15,0.7657295003571474,69.97,0.8495966467676284
39,73.126,0.764865857637142,70.06,0.844922925852522
40,73.258,0.7588613149912461,69.8,0.8548409078694597
41,73.336,0.7573255170946536,70.05,0.8540552047234548
42,73.53,0.757662610400973,70.35,0.8466152827950972
43,73.484,0.7534807277152605,69.88,0.8486644444586355
44,73.68,0.7487981263024118,69.92,0.8533624161647845
45,73.604,0.7485692671802647,70.28,0.8510851173461238
46,73.774,0.7460131323550974,70.36,0.8525092918661576
47,73.808,0.7432184608848503,70.45,0.8481821787508228
48,73.918,0.7426356732692865,70.51,0.8408380920373941
49,73.702,0.7413291623220419,70.66,0.8319477114496352
50,73.89,0.7385264556578663,70.61,0.8378271324725091
51,73.912,0.7363090560869183,70.75,0.8361688150635248
52,73.956,0.7358257396294333,70.48,0.8431153161616265
53,74.196,0.7316721253992652,70.61,0.8321875348875795
54,74.218,0.7320389151573181,70.54,0.8379961984067024
55,74.11,0.7310554501040817,71.16,0.8234490608867211
56,74.388,0.7276841030096459,70.68,0.8266494417492347
57,74.42,0.724628302218664,71.04,0.8232407517071012
58,74.644,0.7246071995066865,70.85,0.8289423124699653
59,74.438,0.7240118878271878,70.88,0.8292256857775435
60,74.638,0.7193426861787391,71.29,0.8224435614634164
61,74.758,0.7185586271688457,71.18,0.8161586145811444
62,74.684,0.7178730336601472,71.11,0.8270014645178106
63,74.73,0.7185233571492803,71.53,0.8162687503838841
64,74.994,0.7137827046234589,70.98,0.828844614421265
65,75.024,0.7107541780642537,70.96,0.8244265416000462
66,74.864,0.7110385586081258,70.61,0.8399677178527736
67,74.864,0.7113808989524841,71.47,0.812310387062121
68,75.024,0.7088973801916517,71.24,0.8184420768218704
69,75.004,0.7078869287924998,71.53,0.8270332662365104
70,74.982,0.7072879188048565,71.51,0.8133916115459008
71,75.208,0.7044836490812814,70.35,0.8326328555239907
72,75.036,0.7067125646964364,71.52,0.8154909716376776
73,75.048,0.7067217230796814,70.94,0.8272103395643113
74,75.366,0.7011844697968125,70.94,0.822770846040943
75,75.122,0.7034835066179486,71.75,0.8073348304893397
76,75.266,0.700373692966788,71.68,0.8164098956916905
77,75.35,0.7003187274993838,71.4,0.8128591164757933
78,75.264,0.6990443339280765,71.37,0.818060088006756
79,75.47,0.6974511935430414,71.53,0.806104492537583
80,75.562,0.6966739135325107,71.42,0.8080305509929415
81,75.542,0.694268933952312,71.69,0.8031814701949493
82,75.592,0.6931591461534086,71.36,0.807854980607576
83,75.646,0.6944249875252814,71.09,0.82088572239574
84,75.616,0.6957575997428211,71.74,0.8007783633244189
85,75.734,0.6907801701284736,71.87,0.8061765937865535
86,75.682,0.6930790136537284,71.88,0.8081319445296179
87,75.588,0.6919414030621424,71.59,0.8070370909533923
88,75.62,0.6908902616604514,71.7,0.8070678371417371
89,75.812,0.6894225047524932,71.48,0.8066254944740971
90,75.826,0.6880958651947549,71.63,0.8047629813604718
91,75.884,0.6860236811363484,71.68,0.8021911692015732
