Time stamp,Power,avg_temp
1680471547.0993574, 0.0, 49.388
1680471547.2999203, 0.0, 49.388
1680471547.500427, 0.0, 49.388
1680471547.7010326, 4.126, 48.312
1680471547.9015496, 4.126, 48.312
1680471548.1020925, 4.126, 48.85
1680471548.3026166, 4.126, 47.774
1680471548.50317, 4.126, 47.774
1680471548.7036886, 3.87, 47.236
1680471548.9042041, 3.87, 47.236
1680471549.1047194, 3.87, 47.236
1680471549.3052416, 3.87, 47.236
1680471549.5057585, 3.87, 47.236
1680471549.7062647, 3.641, 46.16
1680471549.9067783, 3.641, 46.698
1680471550.1072917, 3.641, 46.16
1680471550.307811, 3.641, 45.622
1680471550.5083346, 3.641, 46.16
1680471550.708853, 3.657, 46.16
1680471550.909391, 3.657, 46.16
1680471551.1099074, 3.657, 45.622
1680471551.3104196, 3.657, 45.084
1680471551.5110297, 3.657, 45.084
1680471551.7117143, 3.405, 45.084
1680471551.912465, 3.405, 45.084
1680471552.1131837, 3.405, 44.546
1680471552.313875, 3.405, 45.084
1680471552.5145237, 3.405, 44.546
1680471552.715162, 3.424, 45.084
1680471552.915753, 3.424, 44.546
1680471553.1163905, 3.424, 44.546
1680471553.3170595, 3.424, 44.546
1680471553.5176961, 3.424, 44.008
1680471553.7186654, 3.443, 44.008
1680471553.919306, 3.443, 44.008
1680471554.1199641, 3.443, 44.008
1680471554.3206365, 3.443, 43.47
1680471554.5212972, 3.443, 44.008
1680471554.7219665, 3.431, 42.932
1680471554.9226015, 3.431, 44.008
1680471555.1233163, 3.431, 43.47
1680471555.324021, 3.431, 43.47
1680471555.524696, 3.431, 42.932
1680471555.7254214, 3.405, 42.932
1680471555.9260921, 3.405, 43.47
1680471556.126741, 3.405, 43.47
1680471556.3273885, 3.405, 42.932
1680471556.5280313, 3.405, 42.932
1680471556.7286675, 3.408, 42.932
1680471556.929454, 3.408, 43.47
1680471557.1299784, 3.408, 42.932
1680471557.3305395, 3.408, 44.008
1680471557.531315, 3.408, 44.546
1680471557.7320082, 6.523, 45.084
1680471557.9327254, 6.523, 45.084
1680471558.1334765, 6.523, 45.084
1680471558.3339543, 6.523, 46.16
1680471558.5347447, 6.523, 46.16
1680471558.735398, 6.5, 46.16
1680471558.9359818, 6.5, 46.698
1680471559.1371171, 6.5, 46.16
1680471559.3376062, 6.5, 47.236
1680471559.5390804, 6.5, 47.236
1680471559.7396386, 6.496, 47.236
1680471559.940251, 6.496, 47.236
1680471560.1407776, 6.496, 47.774
1680471560.3415527, 6.496, 47.774
1680471560.5421867, 6.496, 47.774
1680471560.7427413, 6.489, 48.312
1680471560.9434206, 6.489, 48.312
1680471561.144227, 6.489, 48.312
1680471561.3447573, 6.489, 48.312
1680471561.545387, 6.489, 48.312
1680471561.7459893, 6.508, 48.312
1680471561.9465342, 6.508, 48.312
1680471562.1470563, 6.508, 48.312
1680471562.3475645, 6.508, 48.85
1680471562.5481174, 6.508, 49.388
1680471562.748699, 6.504, 49.388
1680471562.9495976, 6.504, 49.388
1680471563.150238, 6.504, 49.388
1680471563.350925, 6.504, 49.388
1680471563.5514023, 6.504, 49.388
1680471563.7519329, 6.515, 49.926
1680471563.9525948, 6.515, 49.926
1680471564.1533215, 6.515, 49.926
1680471564.3540487, 6.515, 49.926
1680471564.5546255, 6.515, 49.388
1680471564.7552583, 6.443, 49.926
1680471564.9558513, 6.443, 49.388
1680471565.1564157, 6.443, 49.388
1680471565.3569412, 6.443, 49.388
1680471565.5577843, 6.443, 49.926
1680471565.7583444, 6.508, 49.388
1680471565.958946, 6.508, 50.464
1680471566.1595912, 6.508, 49.926
1680471566.3602169, 6.508, 49.926
1680471566.5607812, 6.508, 49.926
1680471566.7614226, 6.5, 49.926
1680471566.9619584, 6.5, 50.464
1680471567.1626406, 6.5, 49.388
1680471567.363188, 6.5, 50.464
1680471567.5637772, 6.5, 50.464
1680471567.7643938, 6.5, 50.464
1680471567.9649184, 6.5, 50.464
1680471568.1656065, 6.5, 49.926
1680471568.3661284, 6.5, 50.464
1680471568.5666826, 6.5, 50.464
1680471568.7672389, 6.523, 50.464
1680471568.967856, 6.523, 49.926
1680471569.1683671, 6.523, 50.464
1680471569.3689868, 6.523, 49.926
1680471569.5695245, 6.523, 50.464
1680471569.770058, 6.504, 50.464
1680471569.970655, 6.504, 50.464
1680471570.1712399, 6.504, 50.464
1680471570.3717678, 6.504, 50.464
1680471570.5723095, 6.504, 50.464
1680471570.7730212, 6.55, 50.464
1680471570.9736097, 6.55, 50.464
1680471571.1743815, 6.55, 51.002
1680471571.3749266, 6.55, 50.464
1680471571.5755117, 6.55, 50.464
1680471571.776096, 6.508, 51.54
1680471571.976724, 6.508, 50.464
1680471572.1773276, 6.508, 50.464
1680471572.3778863, 6.508, 50.464
1680471572.5784278, 6.508, 51.002
1680471572.7790647, 6.515, 50.464
1680471572.9796631, 6.515, 50.464
1680471573.1803136, 6.515, 50.464
1680471573.3808177, 6.515, 51.002
1680471573.581397, 6.515, 51.002
1680471573.7820585, 6.5, 51.002
1680471573.982603, 6.5, 51.002
1680471574.1832535, 6.5, 51.002
1680471574.3838782, 6.5, 50.464
1680471574.5844386, 6.5, 51.54
1680471574.785102, 6.538, 51.54
1680471574.9856298, 6.538, 51.002
1680471575.1862066, 6.538, 50.464
1680471575.3867283, 6.538, 51.54
1680471575.5872993, 6.538, 51.54
1680471575.787832, 6.508, 50.464
1680471575.9884784, 6.508, 51.54
1680471576.189093, 6.508, 51.002
1680471576.3895435, 6.508, 51.54
1680471576.5900493, 6.508, 51.54
1680471576.790608, 6.519, 51.54
1680471576.9911728, 6.519, 50.464
1680471577.194835, 6.519, 51.54
1680471577.3954175, 6.519, 51.002
1680471577.596017, 6.519, 51.54
1680471577.7966263, 6.519, 50.464
1680471577.9973502, 6.519, 51.54
1680471578.1979303, 6.519, 51.54
1680471578.3984873, 6.519, 51.54
1680471578.59904, 6.519, 50.464
1680471578.7995794, 6.519, 51.002
1680471579.00013, 6.519, 51.54
1680471579.2020864, 6.519, 50.464
1680471579.402656, 6.519, 51.54
1680471579.6032178, 6.519, 51.54
1680471579.803814, 6.55, 51.54
1680471580.00437, 6.55, 51.54
1680471580.2050245, 6.55, 51.54
1680471580.4055884, 6.55, 51.54
1680471580.6060882, 6.55, 51.54
1680471580.806628, 6.492, 51.54
1680471581.0072968, 6.492, 51.002
1680471581.2078605, 6.492, 51.002
1680471581.4084244, 6.492, 51.002
1680471581.6090214, 6.492, 51.54
1680471581.809662, 6.519, 51.54
1680471582.0102317, 6.519, 51.54
1680471582.2108645, 6.519, 51.54
1680471582.4113646, 6.519, 51.54
1680471582.6119204, 6.519, 50.464
1680471582.812408, 6.534, 51.54
1680471583.012949, 6.534, 51.54
1680471583.2135286, 6.534, 51.002
